training/entropy_loss,training/kl_mean,training/learning_rate,training/policy_dist_max_loc,training/policy_dist_max_std,training/policy_dist_mean_loc,training/policy_dist_mean_std,training/policy_dist_min_loc,training/policy_dist_min_std,training/policy_loss,training/sps,training/total_loss,training/v_loss,training/walltime,training_transitions
0.00448783440515399,0.1740046739578247,9.999999747378752e-05,1.9829617738723755,0.9741024971008301,-0.14040014147758484,0.19098231196403503,-2.4923501014709473,0.02336897701025009,0.1160215511918068,268.95523889468785,155.1692352294922,155.04872131347656,11.897890567779541,3200
0.0034091880079358816,0.03674788773059845,9.999999747378752e-05,1.7822705507278442,0.9809303283691406,-0.1048041433095932,0.2318512350320816,-2.3283166885375977,0.02511017769575119,0.050784457474946976,7894.273525739167,113.6604232788086,113.60623168945312,12.303247690200806,6400
0.003857188392430544,0.01995665207505226,9.999999747378752e-05,1.9395028352737427,1.0787993669509888,-0.10798803716897964,0.2135280966758728,-2.7865490913391113,0.02728382870554924,0.032624974846839905,7872.820185544079,134.3992919921875,134.36279296875,12.709709405899048,9600
0.003663912182673812,0.014650209806859493,9.999999747378752e-05,1.8911563158035278,0.9944033026695251,-0.14372728765010834,0.22386813163757324,-2.7045111656188965,0.027057036757469177,0.020996209233999252,8040.282846387383,137.0546875,137.03001403808594,13.107705354690552,12800
0.0038290955126285553,0.01181781105697155,9.999999747378752e-05,1.9535562992095947,1.0780149698257446,-0.12169063091278076,0.2139624059200287,-2.553067684173584,0.028117146342992783,0.02057001180946827,7820.114967307847,140.24932861328125,140.22491455078125,13.516906499862671,16000
0.003795088268816471,0.012056081555783749,9.999999747378752e-05,1.8981969356536865,1.0731513500213623,-0.10954414308071136,0.2228432297706604,-2.6815452575683594,0.0294191837310791,0.018077364191412926,8121.1579653075105,151.87142944335938,151.84954833984375,13.91093897819519,19200
0.0038450313732028008,0.009207725524902344,9.999999747378752e-05,1.8831795454025269,1.051235556602478,-0.13567009568214417,0.21758629381656647,-2.8830933570861816,0.02584570273756981,0.008526535704731941,7890.031949820852,112.8010025024414,112.78863525390625,14.316514015197754,22400
0.003691991325467825,0.005523663479834795,9.999999747378752e-05,1.9517937898635864,1.0939435958862305,-0.13948756456375122,0.22409212589263916,-2.906196355819702,0.025079796090722084,0.007753079291433096,7954.284197126405,132.8865509033203,132.8751220703125,14.718812942504883,25600
0.004011696204543114,0.003977697342634201,9.999999747378752e-05,2.0054821968078613,1.1062476634979248,-0.12695515155792236,0.21694229543209076,-2.919726848602295,0.02473421022295952,0.0068132164888083935,7647.611775994457,128.92005920410156,128.90924072265625,15.13724422454834,28800
0.0038768108934164047,0.006324508227407932,9.999999747378752e-05,1.9371817111968994,0.9954660534858704,-0.12433549761772156,0.2184433937072754,-2.5269627571105957,0.024115227162837982,0.008405820466578007,7846.374483359348,122.84356689453125,122.83128356933594,15.5450758934021,32000
0.004209508188068867,0.0034174094907939434,9.999999747378752e-05,1.9344090223312378,0.9789977073669434,-0.13811679184436798,0.20684635639190674,-2.6001992225646973,0.023676494136452675,0.007251258008182049,7468.003830323992,129.8922119140625,129.88075256347656,15.973570585250854,35200
0.003957950975745916,0.0027325781993567944,9.999999747378752e-05,1.9340102672576904,1.015925645828247,-0.11669687926769257,0.2179802656173706,-2.43906831741333,0.025293948128819466,0.006914055906236172,9358.7083062557,108.10211944580078,108.09124755859375,16.315498113632202,38400
0.004062137566506863,0.0023871385492384434,9.999999747378752e-05,1.9249613285064697,1.0711346864700317,-0.12487779557704926,0.21718625724315643,-2.4632277488708496,0.024449262768030167,0.004570830147713423,9419.567936151905,122.67889404296875,122.67025756835938,16.655216455459595,41600
