apex_seen,end_code,entry_index,environment_interactions,final_x,final_z,finite,global_index,phase,phase_index,phase_transitioned,physical_failure,return,start_x,start_z,success,terminal,terminal_class,timeout,training_transitions
True,13,0,32,5.592192649841309,0.2712451219558716,True,0,upstream,0,True,False,84.27050580084324,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,32000
True,13,511,38,4.215669631958008,0.2995266318321228,True,511,upstream,0,True,False,941.4310960769653,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,32000
True,13,0,4,5.7233991622924805,0.3136119544506073,True,512,downstream,1,True,False,-15.601447582244873,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,32000
True,13,511,2,4.086340427398682,0.30156752467155457,True,1023,downstream,1,True,False,5.447858273983002,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,32000
True,13,0,32,5.58821964263916,0.27145957946777344,True,0,upstream,0,True,False,81.3598565980792,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,64000
True,13,511,38,4.218559741973877,0.2925441265106201,True,511,upstream,0,True,False,931.4396442174911,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,64000
True,13,0,4,5.723577976226807,0.3129883408546448,True,512,downstream,1,True,False,-15.531243801116943,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,64000
True,13,511,2,4.086340427398682,0.30156680941581726,True,1023,downstream,1,True,False,5.44749915599823,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,64000
True,13,0,30,5.498467445373535,0.3181079626083374,True,0,upstream,0,True,False,27.993804827332497,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,128000
True,13,511,38,4.219874858856201,0.28362247347831726,True,511,upstream,0,True,False,779.7668013572693,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,128000
True,13,0,3,5.697861671447754,0.31211602687835693,True,512,downstream,1,True,False,-11.179484844207764,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,128000
True,13,511,2,4.08642578125,0.3012939393520355,True,1023,downstream,1,True,False,5.489079117774963,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,128000
