arm,scenario,interactions,completed_candidates,positive_candidates,negative_candidates,unknown_candidates,witnessed_root_cells,novel_root_cells,common_budget,budget_below_training_surcharge,training_surcharge,full_schedule_interactions,scope
pi_6,exploration_only,4135,205,205,0,0,204,134,4135,False,0,4135,conservative_offline_declared_order
pi_6,training_inclusive,4135,205,205,0,0,204,134,4135,False,0,4135,conservative_offline_declared_order
late_checkpoint_128000,exploration_only,3997,122,122,0,0,122,122,4135,False,0,5959,conservative_offline_declared_order
late_checkpoint_128000,training_inclusive,0,0,0,0,0,0,0,4135,True,128226,134185,conservative_offline_declared_order
late_checkpoint_192000,exploration_only,4059,103,103,0,0,103,103,4135,False,0,9191,conservative_offline_declared_order
late_checkpoint_192000,training_inclusive,0,0,0,0,0,0,0,4135,True,192307,201498,conservative_offline_declared_order
late_checkpoint_256000,exploration_only,4089,161,161,0,0,161,161,4135,False,0,5631,conservative_offline_declared_order
late_checkpoint_256000,training_inclusive,0,0,0,0,0,0,0,4135,True,256392,262023,conservative_offline_declared_order
