arm,candidate_index,candidate_id,state_sha256,phase,root_cell,root_x_m,root_y_m,root_z_m,root_vx_mps,root_vy_mps,root_vz_mps,roll_deg,pitch_deg,yaw_deg,root_wx_degps,root_wy_degps,root_wz_degps,steering_deg,hip_deg,knee_deg,steering_rate_degps,hip_rate_degps,knee_rate_degps,rearwheel_tangent_mps,frontwheel_tangent_mps,label,novel_positive
pi_6,0,pi6_causal_upstream_000000,bfe49877be09f631955e3ffa060b8d3879c0224d8abd9015c846d592081ee24d,upstream,fcd0061c3dfc1adc55b01326c4a0b5344449778108563565d9f02be0ba321e24,2.8001387119293213,-0.002578401006758213,0.11781156808137894,1.0292888879776,0.016490193083882332,0.10544322431087494,-0.9171372917269607,-0.12319452713250052,-0.5859264148759292,-4.300121896239478,25.627238596103023,7.220731702791264,-0.12136392381466407,-64.78754763629168,133.0580272964263,5.434352074435082,346.93948621155437,-422.0538359106093,0.5974387741088868,0.9999637413024903,1,False
pi_6,1,pi6_causal_upstream_000001,80327f99d978fed9a36cef542446dfa459e959521e3bc1c1fb5f5488ba8aabec,upstream,58d4d9709979012f74e4dd55810eb93414d33d420bcb035865d50d72c7114b78,2.8268606662750244,-0.0032595128286629915,0.11937002837657928,0.6206321716308594,-0.04873230680823326,0.04311510920524597,-1.3633584378905088,0.34799437902264807,-1.0887987704769604,-17.00174615558347,11.295218726686194,-27.607349710077447,-16.248931243001124,-44.14601245502863,106.32060975262941,92.30295787749887,548.9042184591128,-907.644331782725,1.0632735347747804,0.6189914703369142,1,False
pi_6,2,pi6_causal_upstream_000002,73aad2629ef9ca9ef74a557b983734482f15825dc17328c306e60584938ab24f,upstream,f5da945468782e0b795aef2330a2bb74f7fece41b274e86d0029cf002c6f1d5f,2.8827641010284424,-0.0019225844880566,0.19843997061252594,1.3856046199798584,0.055555518716573715,2.6063151359558105,-2.1349777508383894,26.71045980942586,-2.84296148624237,0.421369791184572,568.1628930504476,-22.127617005023154,-2.116860892668188,-47.70424731447097,45.278720781699796,83.95278523978065,-372.2413209352196,-730.796800585188,1.341816158294678,-0.6958691310882569,1,False
pi_6,3,pi6_causal_upstream_000003,85090b06187d2ba1dbafb795f9796a856a7f87185a7af3c95d8f1f6c4fdd9ca1,upstream,995a04e5e29f4c62515dd14f7d38c5105ab1c2598a399d2ad7ec4795c514fdfa,2.9593913555145264,0.000350644753780216,0.31592118740081787,2.239428997039795,0.04393851384520531,3.060290813446045,-2.699455354658334,28.760434307819366,-4.618422770049199,8.307895474303132,-406.91895633256144,-40.670272620381716,27.29682369719928,-60.666375415646066,61.141339940339584,125.11569208423872,-117.34015009158284,1064.5977622300625,2.533152770996094,0.45549633979797366,1,False
pi_6,4,pi6_causal_upstream_000004,aeefb5c32e7c79e46f3a4a306aae00fe0800f8e351983ddfd0e5c5cdd54d18de,upstream,8ea0f60f743fa0ef3f081319a21e63bddb9f12ae5cf16eb381261c71e7a68cd4,3.001734972000122,0.0011719258036464453,0.37286901473999023,2.0559356212615967,0.03714698180556297,2.6726126670837402,-2.8256866321909238,22.8293016793663,-5.1506945168550375,1.8296815335901824,-241.90612123066225,-32.9903805968627,37.83224022778221,-62.60198955472515,76.37625446897144,-80.32706128114943,-76.3583388827785,592.7231058340328,2.3315508270263674,0.26429174661636357,1,False
pi_6,5,pi6_causal_upstream_000005,c26c3a9a4ac2f7ae7c9c82cc499294bd78d3abb0dc063c942ec130b3106fff37,upstream,58aaf1d34e7c5663eb5052a74fe4956d0905bf1f0590933c1b12513468c3ddd8,3.039292812347412,0.0018050214275717735,0.4163494408130646,1.7290213108062744,0.024346163496375084,1.6516454219818115,-3.0119977542428384,21.167283124880818,-5.700095554571204,0.34297416055163504,42.41616800997994,-25.841429913380036,40.405821356097164,-64.12032011665147,80.58798133763308,-56.47809658640508,-48.34358034154084,-137.76473797423876,1.9842040252685549,-0.00169321833178401,1,False
pi_6,6,pi6_causal_upstream_000006,55c119956c560a1de85b3554fbf69ec5def5f8ed0ff8949d061b10beb7fb64cc,upstream,b388795825acdd7e3b4e12844e79044000f0553a5520f31bb24e6a41eff759a2,3.105060338973999,0.0018934898544102907,0.4486660361289978,1.6377801895141602,-0.0026817426551133394,0.4514131546020508,-3.27024475181498,17.91031534876132,-6.716931367676524,3.910148830483015,-166.09714129301705,-32.39566578054593,38.42441079863314,-52.875270836966315,62.36893667005514,21.624013497139774,438.874515458843,-548.6772376126149,2.238927879333496,0.1969504523277283,1,False
pi_6,7,pi6_causal_upstream_000007,7c092466026cd659e267ba75df9272f9a9f0ed6e0a3abd7a7b61ab1cb286c6ee,upstream,9e7974ecb75e2de9f6f7219997a1d1564e973c15844794ca7f5e3f7e47039ab7,3.1366143226623535,0.0018998348386958241,0.4537726938724518,1.585863471031189,0.011287497356534004,0.33059343695640564,-3.333138383520886,14.856407375526443,-7.230078380348782,4.431233353773397,-131.63292198648148,-35.728033114325115,37.4256493117751,-42.808811679701876,48.18542389621461,24.720042625258174,459.26825820720717,-674.4964801625,2.196806221008301,0.16401615381240847,1,False
pi_6,8,pi6_causal_upstream_000008,d3e6aa6d223d5d12aae892fb7b974de8f4d6510e1b2e755b5c3219102d7960ed,upstream,5c9fb4aade0e3115191c44a4a3097ac8ce2b1dfe89ac7326bb01a8b54f27cab7,3.2002053260803223,0.002999033546075225,0.46728941798210144,1.6373342275619507,0.038631897419691086,0.35146230459213257,-3.416575101515061,8.991859309099745,-8.530076542089102,4.530564794872892,-192.13215584294815,-46.540393325184546,35.37671550417634,-24.12558735612987,21.7635166958427,28.68217389108004,483.9299949226155,-582.6033336352019,2.2706527709960938,0.22210459947586061,1,True
pi_6,9,pi6_causal_upstream_000009,26bc96396b5f92c4341d4036a93be53fb38db47e4676dc546702a2a4ab2505c4,upstream,2d0d65afcc1352a03127eec87f3498c9da3b2e61905da2894b90ea6641f23581,3.2346787452697754,0.0038181578274816275,0.4770083725452423,1.747198462486267,0.03841884434223175,0.3877151608467102,-3.439761820267875,5.45630636240674,-9.301606587823224,3.090396783374078,-232.13135554718696,-52.355213403372375,34.251831159199426,-17.819232714322077,15.966016269842735,33.56076286426129,397.86537666316946,-314.10567404103585,2.3195331954956058,0.254937059879303,1,True
pi_6,10,pi6_causal_upstream_000010,899590dc1d7fd7b1b194f237e5e6f86c9aed27d62972cc63193935c0f9eac1ab,upstream,538badfbe6a4704ccdb762487e2489e560bec216c3955dbd570c469b802ed030,3.3088557720184326,0.005319498013705015,0.4978378415107727,1.878973364830017,0.03193763643503189,0.38030269742012024,-3.463408933735244,-2.070425175469366,-11.081959002308011,-1.6705839095406654,-244.15729693958508,-58.516846581951356,35.90399586281757,-11.939597556005415,18.88452024369604,-8.177192974345768,241.6210564554626,27.347836672562813,2.3342227172851566,0.26883836269378664,1,True
pi_6,11,pi6_causal_upstream_000011,5b4798b296257c5a19c6b15fc5760a4c2cac07f75bad97bb94f087025a78e8eb,upstream,13a2e797fe1540fb5b0f6f5e27caa24e2a25852b8c9f4248e7568674bc2f4bbb,3.347050428390503,0.006057145074009895,0.5083140730857849,1.9065684080123901,0.03447073698043823,0.43234243988990784,-3.4597313609116607,-5.503611889780647,-12.042725743844978,-3.985906727435858,-203.87635193208328,-58.346330909321985,36.64056004781716,-11.263194530988944,24.019767235318863,-4.574974257969492,118.52021553486428,172.51650824483187,2.2850138473510744,0.23188823461532596,1,True
pi_6,12,pi6_causal_upstream_000012,ea6972e195802083085b63a851d2a09514a3589f9aa75f2ce4c72997c47001d0,upstream,4ee0e068a15b7aaeb266201395e5e7970be5abad8dfe3b6d55e3f0cb01993e03,3.385200262069702,0.006931646727025509,0.5193662047386169,1.8977264165878296,0.03982311859726906,0.4064248502254486,-3.4367276806598794,-7.965654114340851,-13.025839846291916,-4.982511155176643,-163.9206058913441,-55.4182561328942,37.23386101497573,-12.632955671862796,30.7953627032957,-0.0987384286011076,46.44134533693561,215.03958579079543,2.2362348937988283,0.19530623912811282,1,True
pi_6,13,pi6_causal_upstream_000013,691a0d36b3aba6b280fb96d9279aa0f7e7417cab60b67940a3a5f83220664666,upstream,da88245e23de40d70e4fd960adee71055e7cddb72cd0947ad8540ffa94264573,3.4597103595733643,0.009366028010845184,0.5395826101303101,1.8495739698410034,0.06165555119514465,0.33182814717292786,-3.314696585636885,-9.714711563528573,-14.92722668340396,-3.3236120984802824,-56.62728499335108,-45.93454871561525,37.13662644195143,-19.95464696209696,45.3760680528454,9.564899583490185,-130.28910958803814,291.3593955764659,2.1051405715942386,0.08845076441764832,1,True
pi_6,14,pi6_causal_upstream_000014,62ccc14d9a7966b589108098bf5186adfde02ee72558af4eb908c0c322ac14c6,upstream,2c1ea4e904078c9ef25de820300ea7a99eb81caf853fcab44eb571f8605dea7f,3.4953956604003906,0.01127147488296032,0.5498673915863037,1.7865225076675415,0.09127004444599152,0.3663157820701599,-3.2070687509255436,-7.826928451797342,-15.854888809362128,-0.24209909669971674,61.86396029414859,-38.887634228143405,37.39649123420832,-27.708001085234045,53.70864270816708,10.179800170125276,-311.5374955923544,345.66090211968464,1.9604220390319826,-0.02393529832363129,1,True
pi_6,15,pi6_causal_upstream_000015,a3af920503dfb6ddb231661926ea4863b0b04840788cf6983591ced96edc2ab3,upstream,80f41f44fffb88aab28ad3d65eaa3a22b22c5ecadd087026f57465b6e9b0ce08,3.529839038848877,0.013868365436792374,0.5622236728668213,1.7325756549835205,0.1252792775630951,0.4937584102153778,-3.083105663464889,-3.908105865664449,-16.756208451721015,3.3929229371868677,151.01762722838131,-32.84691247334658,37.27021128173854,-38.886869246956365,63.446603917299754,15.420728117454766,-480.3793347429627,437.7458403588767,1.8514883041381838,-0.10967297077178956,1,True
pi_6,16,pi6_causal_upstream_000016,8d52cd57699cb2ba6547fd3ab2634657ad3a6db6c91d1c1532098bea6a588e47,upstream,247f79471fd5d6a209e0be2832ff58128b8f9ae7e94440d4774127732792b10d,3.6013307571411133,0.01897246763110161,0.5918490886688232,1.832268476486206,0.12149835377931595,0.8265492916107178,-2.8228314527270904,-4.828978560951862,-18.00421890288773,4.989176139146106,-213.66313874849777,-30.91775969322233,36.73064682787504,-55.33909424041375,91.64566145291187,5.489386323672459,-249.64805869260167,839.906395141987,2.2970119857788087,0.24437548637390138,1,True
pi_6,17,pi6_causal_upstream_000017,f3a23fd4528704da04bad7f5a7ed18a611c4501e9087dc489b7d6c8276f52a52,upstream,8bc47ab25344afdb358f9ca7d265bdf194fb35de205b5b898bf2de13bed7c6d1,3.6371757984161377,0.02161933295428753,0.6062970161437988,1.7928736209869385,0.1250721663236618,0.5131223797798157,-2.680640956191194,-8.720122755271136,-18.395711993946794,4.882034803617524,-213.1965958470509,-26.552078653121306,38.879144303005084,-60.29509316255334,107.09278312886686,-32.28091518739513,-181.80777849734028,680.8050614459772,2.2964632415771487,0.24427917242050173,1,True
