apex_seen,end_code,entry_index,environment_interactions,final_x,final_z,finite,global_index,phase,phase_index,phase_transitioned,physical_failure,return,start_x,start_z,success,terminal,terminal_class,timeout,training_transitions
True,13,0,30,5.505937099456787,0.2765551209449768,True,0,upstream,0,True,False,82.35295828431845,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,32000
True,13,511,39,4.2588396072387695,0.2984195351600647,True,511,upstream,0,True,False,966.4314163923264,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,32000
True,13,0,3,5.697120189666748,0.3147512376308441,True,512,downstream,1,True,False,-11.495956897735596,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,32000
True,13,511,2,4.086334228515625,0.30158668756484985,True,1023,downstream,1,True,False,5.444433212280273,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,32000
True,13,0,33,5.662125587463379,0.2907504141330719,True,0,upstream,0,True,False,76.76189854741096,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,64000
True,13,511,37,4.169296741485596,0.27834129333496094,True,511,upstream,0,True,False,798.6683895587921,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,64000
True,13,0,3,5.697139263153076,0.3148488402366638,True,512,downstream,1,True,False,-11.464731693267822,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,64000
True,13,511,2,4.086336135864258,0.3015824258327484,True,1023,downstream,1,True,False,5.4453237652778625,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,64000
True,13,0,33,5.651668071746826,0.29211509227752686,True,0,upstream,0,True,False,85.0700818002224,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,128000
True,13,511,39,4.173346996307373,0.2750495374202728,True,511,upstream,0,True,False,720.5798884928226,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,128000
True,13,0,3,5.696874141693115,0.3175470530986786,True,512,downstream,1,True,False,-12.637635231018066,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,128000
True,13,511,2,4.0863213539123535,0.30162328481674194,True,1023,downstream,1,True,False,5.437229156494141,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,128000
True,13,0,34,5.679466247558594,0.26756754517555237,True,0,upstream,0,True,False,75.04868187755346,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,192000
True,13,511,42,4.2743401527404785,0.2821712791919708,True,511,upstream,0,True,False,744.7653226032853,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,192000
True,13,0,3,5.696969509124756,0.31539711356163025,True,512,downstream,1,True,False,-11.564338207244873,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,192000
True,13,511,2,4.086483478546143,0.3011118173599243,True,1023,downstream,1,True,False,5.516227155923843,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,192000
True,13,0,35,5.717369556427002,0.26968592405319214,True,0,upstream,0,True,False,68.3556145131588,4.05471658706665,1.18411386013031,True,first_valid_landing,success,False,256000
True,13,511,45,4.462686061859131,0.26945728063583374,True,511,upstream,0,True,False,881.7334703318775,2.837596893310547,0.11746887117624283,True,first_valid_landing,success,False,256000
True,13,0,3,5.6968865394592285,0.3154510259628296,True,512,downstream,1,True,False,-11.793559074401855,5.553652763366699,0.43573054671287537,True,first_valid_landing,success,False,256000
True,13,511,2,4.086519241333008,0.3009949028491974,True,1023,downstream,1,True,False,5.532043844461441,4.0038933753967285,0.39272910356521606,True,first_valid_landing,success,False,256000
