candidate_id,state_sha256,trajectory_id,phase,x_m,z_m,bank_success,status,forward_trajectory_landed,pi_0,pi_1,pi_2,pi_3
pi2_causal_downstream_000026,84f2b4bdc80591f3c772b0cfbd16b8e3a95428962e201c15fc458177b95a7afd,dense_v1_train_x2.85_family0/variant_0,downstream,4.000499725341797,0.29294508695602417,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000027,96713186fc7402a9c5c8c985667cec7d6681f14604db5d3f4a857aba2ab6101b,dense_v1_train_x2.85_family0/variant_5,upstream,2.738732099533081,0.11914727836847305,True,all_succeed,False,1,1,1,1
pi2_causal_upstream_000028,1bde7a7059e9cb3eaaa423deab6aff52a6b9ce1e783905b2da00d9b46f57e2f1,dense_v1_train_x2.85_family0/variant_5,upstream,2.78820538520813,0.1179128959774971,True,policy_disagreement,False,0,1,1,1
pi2_causal_upstream_000029,cfac54daff3f55731d404cfa43c7e67547b9eccf5cf74bd9870c1898c4d05172,dense_v1_train_x2.85_family1/variant_1,upstream,2.739088296890259,0.11892754584550858,True,all_succeed,False,1,1,1,1
pi2_causal_upstream_000030,88c764953e6979a2503b162b3f6d7f387a505dbc3781b5674eeef2ad79f17294,dense_v1_train_x2.85_family1/variant_1,upstream,2.789827823638916,0.11844984441995621,True,all_succeed,False,1,1,1,1
pi2_causal_upstream_000031,5140878361e7f2da7a8cbdf3af85c40a89c561f15fc4e81e5d7a9b4ede8a9296,dense_v1_train_x2.85_family1/variant_6,upstream,2.739103317260742,0.11905092000961304,True,all_succeed,False,1,1,1,1
pi2_causal_upstream_000032,22d3d8793018b26f4b9d199f09fadba198e03a32ff7684d79fe814535f9b4e8e,dense_v1_train_x2.85_family1/variant_6,upstream,2.775432825088501,0.11901228874921799,True,policy_disagreement,False,1,1,0,1
pi2_causal_upstream_000033,5140878361e7f2da7a8cbdf3af85c40a89c561f15fc4e81e5d7a9b4ede8a9296,dense_v1_train_x2.85_family2/variant_2,upstream,2.739103317260742,0.11905092000961304,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000034,475e828b299dc49cf3c515f21549f20cb4d5d8132c1c99b8e5d0b9282ffcf1c5,dense_v1_train_x2.85_family2/variant_2,upstream,2.776045083999634,0.11880116909742355,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000035,0f318c7a79f658962d182a44d459fa4045875f89dff4c89e87f39df5635e7dee,dense_v1_train_x2.85_family2/variant_2,upstream,2.8296542167663574,0.11887229979038239,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000036,75c544bdb7d0a91cac7454622d4db954ac644c59734dffe4b37ab30df701f9ce,dense_v1_train_x2.85_family2/variant_2,upstream,2.8786356449127197,0.22272564470767975,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000037,db837188dd6eee7eb7f3520551cade396ef9e8433e7dc95ab9bd493f37094a83,dense_v1_train_x2.85_family2/variant_2,upstream,2.960669994354248,0.35864031314849854,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000038,7d857314591a22cc8fd580c4477080ff90eaffc53daf13e78b8e212868389e09,dense_v1_train_x2.85_family2/variant_2,upstream,3.0032801628112793,0.42260992527008057,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000039,77eb965eeb264fdb085a4c24d647d0b3b03c1cd86ba426447a11cdc911fc2345,dense_v1_train_x2.85_family2/variant_2,upstream,3.037931203842163,0.467817485332489,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000040,f8d705e82ef71c18f44dbeab3c53b14acc1c199d927cf386cb8d5ec837809aba,dense_v1_train_x2.85_family2/variant_2,upstream,3.094125747680664,0.5060105323791504,True,all_succeed,True,1,1,1,1
pi2_causal_upstream_000041,e968b8be0d681f47cb1a7e4d55099a1738622e2955f4901f8f82ee7efa2823f2,dense_v1_train_x2.85_family2/variant_2,upstream,3.153670072555542,0.5359153151512146,True,all_succeed,True,1,1,1,1
