resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,836,836
0.5,pi_1,849,849
0.5,pi_2,847,847
0.5,pi_3,842,842
0.5,pi_4,852,852
0.5,pi_5,849,849
0.5,union,860,860
1.0,pi_0,836,836
1.0,pi_1,849,849
1.0,pi_2,847,847
1.0,pi_3,842,842
1.0,pi_4,852,852
1.0,pi_5,849,849
1.0,union,860,860
2.0,pi_0,835,837
2.0,pi_1,848,850
2.0,pi_2,846,847
2.0,pi_3,842,843
2.0,pi_4,851,853
2.0,pi_5,848,850
2.0,union,859,861
