time,step,roll_angle,pitch_angle,yaw_angle,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,hip_position,knee_position,hip_velocity,knee_velocity,hip_torque,knee_torque,steering_torque,rearwheel_torque,action_hip,action_knee,action_steering,action_rearwheel,total_reward,roll_reward,pitch_reward,yaw_reward,speed_reward,position_reward,height_reward,survival_reward,raw_roll_reward,raw_pitch_reward,raw_yaw_reward,raw_speed_reward,roll_deviation,pitch_deviation,yaw_deviation,cumulative_reward
0.002,1,-0.001966300192359858,-0.1371726264365081,-0.5700835011453729,1.5068061552141856,1.4885771951104715e-06,0.25185193932805844,3.313767114372038,0.001185492898978535,-0.23949982433488892,-1.1941593346916481,2.497802236870858,5.618880602131617,-2.1762144700441106,108.70904922485352,-180.0,-4.0,12.0,0.3197325,-0.72627527,-0.6775459,1.0,9.907854919617646,3.998426959846112,3.9817103164751324,0.19619944332569753,0.2798957183341976,0.0,0.0,1.5,0.999606739961528,0.9954275791187831,0.9809972166284876,0.9329857277806586,0.001966300192359858,0.1371726264365081,0.5700835011453729,9.907854919617646
0.004,2,-0.002191875762937112,-0.3716495145629565,-0.5637707910826918,1.5134714897496644,9.353147867808176e-06,0.25143087659382457,3.352068118640483,0.006352851870057032,-0.18230442444641276,-1.1844631840940925,2.4939057828444944,4.103444978581189,-1.7254218488270456,-49.262526535585295,11.320624976048919,4.0,12.0,-1.0,1.0,1.0,1.0,9.919055406407244,3.9982464993896505,3.950446731391606,0.19624152805944872,0.28715288997850685,0.0,0.0,1.5,0.9995616248474126,0.9876116828479015,0.9812076402972436,0.9571762999283563,0.002191875762937112,0.3716495145629565,0.5637707910826918,19.82691032602489
0.006,3,-0.002772834282307671,-0.5620947489888737,-0.5617101861336911,1.5202023510188338,1.4789768949768031e-05,0.2511116248264843,3.37930063944553,-0.0008094361921505916,-0.1376545614258848,-1.1772439452787953,2.4908199253593306,3.133473516526437,-1.3650414511715445,-30.782137932180717,9.845952675236333,-4.0,12.0,-0.3578769,0.6591284,-0.7798093,1.0,10.056737362342618,3.997781732574154,3.9250540334681503,0.1962552654257754,0.29138511264315803,0.0,0.0,1.5,0.9994454331435385,0.9812635083670376,0.9812763271288769,0.9712837088105267,0.002772834282307671,0.5620947489888737,0.5617101861336911,29.88364768836751
0.008,4,-0.004517393798052232,-0.7084745568094699,-0.5625114727474225,1.5269964366970323,1.643554511913196e-05,0.2509068453355427,3.41054369626833,0.002586993407841973,-0.05805218955802143,-1.1723959217247244,2.4885617030405642,1.6696938923072413,-0.8630607241975176,-40.21856899012997,8.661222183991583,4.0,12.0,-1.0,1.0,0.57481635,0.09147201,10.156587136820736,3.996386084961558,3.9055367257587372,0.1962499235150172,0.2952367609986819,0.0,0.0,1.5,0.9990965212403895,0.9763841814396843,0.9812496175750859,0.9841225366622731,0.004517393798052232,0.7084745568094699,0.5625114727474225,40.04023482518825
0.01,5,-0.0010769244165172733,-0.8012609673485401,-0.5568510586109644,1.5338591994350006,2.4899435823552486e-05,0.25083192208629435,3.451981680670085,0.005873662073776993,-0.017705429215665903,-1.1701808780111067,2.487175872730324,0.5722632400697547,-0.5292613163718642,-33.869275579848164,6.6029630128747385,4.0,12.0,-1.0,1.0,1.0,1.0,10.186252380872093,3.9991384604667863,3.893165204353528,0.19628765960926026,0.2986197296221519,0.0,0.0,1.5,0.9997846151166966,0.973291301088382,0.9814382980463012,0.9953990987405062,0.0010769244165172733,0.8012609673485401,0.5568510586109644,50.22648720606034
0.012,6,0.004619597504863478,-0.8549123627809175,-0.5428558137851295,1.540811511704961,3.991117392499453e-05,0.2508236266629477,3.5018748348725146,0.012251397110446465,0.006394655370111385,-1.170103300474043,2.4863856221763614,-0.49162225250440916,-0.27548415854452546,-28.82513106138427,5.211132035794492,-4.0,12.0,-1.0,0.80805504,-1.0,1.0,10.192998634979599,3.996304321996109,3.8860116849625443,0.19638096124143248,0.2999978910039336,0.0,0.0,1.5,0.9990760804990273,0.9715029212406361,0.9819048062071624,0.999992970013112,0.004619597504863478,0.8549123627809175,0.5428558137851295,60.41948584103994
0.014,7,0.010518763285539391,-0.8767683636913798,-0.5230700276909974,1.5478541806477113,5.79452214193586e-05,0.2508517364016313,3.5402627953210106,0.005860729790090408,0.021528692396472406,-1.171746175426487,2.48602440371185,-1.1281127627502743,-0.0890121708559034,-17.001710744109772,4.100296357450304,1.927275640757892,12.0,-0.67402387,1.0,0.21419625,0.61220354,10.269021142609851,3.9915849893715687,3.883097551507816,0.19651286648206,0.2990289194499887,0.0,0.0,1.5,0.9978962473428922,0.970774387876954,0.9825643324103001,0.9967630648332957,0.010518763285539391,0.8767683636913798,0.5230700276909974,70.6885069836498
0.016,8,0.011352341051887396,-0.9207689504690375,-0.5152594794249225,1.5547761109195208,5.843605873264577e-05,0.25094755215931963,3.3818420754355105,-0.005332164194611257,0.07502507498628301,-1.1702943690663303,2.484517479932095,2.5681313905559637,-1.4156010968973547,180.0,-180.0,4.0,12.0,1.0,-1.0,1.0,0.906241,9.995917031087899,3.99091812715849,3.8772308066041283,0.19656493680383386,0.2917390926093038,0.0,0.0,1.5,0.9977295317896225,0.9693077016510321,0.9828246840191692,0.9724636420310127,0.011352341051887396,0.9207689504690375,0.5152594794249225,80.6844240147377
0.018000000000000002,9,0.006595337688308301,-0.9612421833530655,-0.5246233363454913,1.5616112431679505,3.637794056281606e-05,0.251136037050009,3.4518152131787367,-0.016711848098552765,0.11258807716566933,-1.166767037167149,2.4820490282887815,1.01114981011058,-1.0597408535390387,-38.781773602770585,10.174509498067778,4.0,12.0,-1.0,1.0,1.0,1.0,10.068847687312962,3.9947237298493534,3.8718343755529245,0.19650251109103006,0.29861016517068356,0.0,0.0,1.5,0.9986809324623384,0.9679585938882311,0.9825125554551503,0.995367217235612,0.006595337688308301,0.9612421833530655,0.5246233363454913,90.75327170205067
0.02,10,-0.0023014054319188976,-0.9095535034714327,-0.5517852270985085,1.568557503514361,-7.671145618172537e-06,0.2513932425987913,3.4920285152720956,-0.0273089524963468,0.1434615188909587,-1.1666707754059882,2.4802456734877394,-0.8497872818012733,-0.7529050271436175,-31.702332080379932,8.888898609938906,4.0,-12.0,-1.0,1.0,1.0,0.24790871,10.165744724051335,3.998158875654465,3.8787261995371423,0.19632143181934328,0.2999618756813844,0.0,0.0,1.5,0.9995397189136163,0.9696815498842856,0.9816071590967164,0.9998729189379479,0.0023014054319188976,0.9095535034714327,0.5517852270985085,100.919016426102
