proposer,phase,x_left_m,x_right_m,count,frontwheel_tangent_mps_min,frontwheel_tangent_mps_max,hip_deg_min,hip_deg_max,hip_rate_degps_min,hip_rate_degps_max,knee_deg_min,knee_deg_max,knee_rate_degps_min,knee_rate_degps_max,pitch_deg_min,pitch_deg_max,rearwheel_tangent_mps_min,rearwheel_tangent_mps_max,roll_deg_min,roll_deg_max,root_vx_mps_min,root_vx_mps_max,root_vy_mps_min,root_vy_mps_max,root_vz_mps_min,root_vz_mps_max,root_wx_degps_min,root_wx_degps_max,root_wy_degps_min,root_wy_degps_max,root_wz_degps_min,root_wz_degps_max,root_x_m_min,root_x_m_max,root_y_m_min,root_y_m_max,root_z_m_min,root_z_m_max,steering_deg_min,steering_deg_max,steering_rate_degps_min,steering_rate_degps_max,yaw_deg_min,yaw_deg_max
pi_3,downstream,4.25,4.3,10,-0.41556762218475346,3.5421045684814456,-78.70522603254074,17.592178443290635,-414.6802095694736,80.60539832001662,-80.62114873624267,136.68215299079174,-126.7325891060775,620.3901804257601,-2.3682478338192685,13.583483280232333,-1.047424373626709,1.2511083412170412,-5.954713671026186,8.612846049395099,1.4156510829925537,2.5443835258483887,-0.6611065864562988,0.1064269095659256,-3.1801505088806152,-0.09169549494981766,-129.07650512355076,27.318043387403215,-393.19751610135603,166.04243147776523,-232.1340329813416,19.498422768938664,4.256078243255615,4.2974443435668945,-0.11396647244691849,0.03738003224134445,0.2638533115386963,1.2952086925506592,-54.61584892429568,41.39603486120893,-695.7689130872079,97.48017979666601,-2.465828714633814,29.747187157680315
pi_3,downstream,4.3,4.3500000000000005,1,-0.2092898201942444,-0.2092898201942444,-69.84674388660099,-69.84674388660099,41.06116434658154,41.06116434658154,135.34459704562815,135.34459704562815,-23.123955482273132,-23.123955482273132,-2.221354478319561,-2.221354478319561,1.144466781616211,1.144466781616211,-3.112687521950204,-3.112687521950204,1.8451026678085327,1.8451026678085327,-0.04998299106955528,-0.04998299106955528,-3.353323221206665,-3.353323221206665,-18.881122224583958,-18.881122224583958,-41.8581859510195,-41.8581859510195,0.7153811537015888,0.7153811537015888,4.308225154876709,4.308225154876709,-0.009272098541259766,-0.009272098541259766,0.3117423951625824,0.3117423951625824,-3.2508746392444663,-3.2508746392444663,-64.13129623064768,-64.13129623064768,9.372590626688655,9.372590626688655
pi_3,downstream,4.3500000000000005,4.4,7,-0.2520908665657044,-0.104756578207016,-70.09213892310122,17.421999157477888,-125.2819662093935,78.87767464870521,-82.19665481171117,132.90014064357229,-94.78118956500045,47.88510730859832,-3.344345382910962,14.674524295821092,-1.0781233406066895,1.3347139930725098,-7.319731352663939,0.9263586110711917,1.905718207359314,2.0216729640960693,-0.23956769704818726,0.013029216788709164,-3.2644989490509033,-0.725674569606781,-22.911324863221466,-13.265160542760116,-78.0188056813328,54.94451079696753,-9.774395999486462,6.31950446350736,4.352597713470459,4.395750999450684,-0.1286398023366928,0.03225697949528694,0.3036559224128723,1.273950219154358,-39.457709137029354,41.244090472932825,-72.30509972361783,54.50795925616616,-2.739349147124779,20.824302895870982
pi_3,downstream,4.4,4.45,4,-0.24753847599029544,-0.12985520839691164,-69.33323660442109,17.23082557770382,-105.00822988474647,79.26080044981873,-82.38964863689905,125.07536664737896,-142.70438542350536,283.37258217240316,-3.8424068223688317,14.97333342518145,-1.091036319732666,1.3432757377624513,-7.757039462116696,0.6486394072906735,1.9256995916366577,2.1122241020202637,-0.2315444052219391,-0.01596369594335556,-3.5809757709503174,-1.104051947593689,-21.49682342196309,-14.613145333012676,-55.921675225669986,65.48641942235655,-9.075068298294488,6.0717346556100935,4.40493631362915,4.4459333419799805,-0.13336528837680817,0.0319722443819046,0.29657867550849915,1.2372970581054688,-39.99982125145326,41.09539042451248,-7.737131570084663,16.99845400440352,-2.8599633694979487,20.84350380915669
pi_3,downstream,4.45,4.5,2,-0.19513095140457154,-0.14273050308227542,-70.40196996423133,17.14321986386194,-66.80631932851567,79.77499758110481,-82.46217158550624,126.54451301709202,-35.16434443231313,173.90193015569892,3.9676171003315552,15.249376353821347,-0.9602532863616944,0.689771661758423,-2.7379810443339325,0.05256823603826064,2.0394251346588135,2.074467420578003,-0.22752030193805695,-0.021875763311982155,-2.6404285430908203,-1.2902621030807495,-20.711057969277313,-16.130461611847252,-41.55339900459144,-39.95493324822794,0.6322127683035468,4.188460256140817,4.476728439331055,4.4868574142456055,-0.13800999522209167,0.0032695233821868896,0.4477446675300598,1.2133334875106812,-38.7606985775133,41.02183270224603,-18.376576150595117,16.98766913570407,18.12024992824135,20.858730837184485
pi_3,downstream,4.5,4.55,1,-0.2533249735832215,-0.2533249735832215,-70.76187995235598,-70.76187995235598,-45.99884128627258,-45.99884128627258,126.13832166715136,126.13832166715136,-160.09753044683453,-160.09753044683453,3.9366813172262884,3.9366813172262884,-1.1002586936950685,-1.1002586936950685,-0.25470808995597366,-0.25470808995597366,1.9606494903564453,1.9606494903564453,-0.05460980162024498,-0.05460980162024498,-3.5162079334259033,-3.5162079334259033,-14.95929761260163,-14.95929761260163,73.01698985024075,73.01698985024075,5.8032851693401435,5.8032851693401435,4.527367115020752,4.527367115020752,0.002560562686994672,0.002560562686994672,0.38449668884277344,0.38449668884277344,-39.377898376577754,-39.377898376577754,4.548593506073964,4.548593506073964,18.21754554829824,18.21754554829824
pi_3,downstream,4.55,4.6000000000000005,2,-0.19900013208389283,-0.19774970293045047,16.907453686544148,16.9848380222931,80.80350795689284,81.16370481296264,-82.2834733462512,-82.02874144115557,-25.339429792404317,-20.071192187452176,15.747779556340042,15.973597792919996,0.6920778560638429,0.6932090568542482,-3.981745848699135,-3.566270825610046,2.056565046310425,2.0653176307678223,-0.21917112171649933,-0.21478480100631714,-1.846392273902893,-1.6606788635253906,-20.81946502423646,-20.809574910318283,-42.75900935536873,-41.8001976449661,0.5477953654218916,0.5689757820381011,4.558411121368408,4.599515914916992,-0.15144582092761993,-0.14705242216587067,1.1191365718841553,1.1542528867721558,40.80118344110876,40.87514072944166,17.032743261584276,17.090342246854995,20.881719238095055,20.891623645541127
pi_3,downstream,4.6000000000000005,4.65,2,-0.20007675886154178,2.977693786621094,-71.16393903784878,16.823193057848286,-310.8713609029814,81.33772437263622,-81.64590250798719,130.41708001232752,-13.980254881877416,607.1821245333296,0.7028938258983125,16.183317853060583,0.6945923328399659,1.1107104682922364,-4.396944694099419,-1.721738026797135,2.0744240283966064,2.3278164863586426,-0.2102423459291458,-0.20915992558002472,-2.0335285663604736,-0.32716381549835205,-67.79884826775607,-20.799172532212353,-151.83979075915408,-43.89491421057146,-283.2264434449216,0.6332194207933304,4.613426685333252,4.640802383422852,-0.15575052797794342,-0.0018200338818132877,0.26703372597694397,1.0802758932113647,-39.17055773903826,40.72587036022562,17.17621480019498,133.9256935474497,16.467400022865714,20.902044405962943
pi_3,downstream,4.65,4.7,1,-0.20084223031997683,-0.20084223031997683,16.7228114751639,16.7228114751639,81.25800240464383,81.25800240464383,-81.10771092214686,-81.10771092214686,-6.519258041539437,-6.519258041539437,16.37394336583106,16.37394336583106,0.6963676071166993,0.6963676071166993,-4.810795089412711,-4.810795089412711,2.0841031074523926,2.0841031074523926,-0.20554782450199127,-0.20554782450199127,-2.2230875492095947,-2.2230875492095947,-20.742997641383585,-20.742997641383585,-45.36271503301803,-45.36271503301803,0.7432896801762312,0.7432896801762312,4.68228006362915,4.68228006362915,-0.1599639356136322,-0.1599639356136322,1.0376263856887817,1.0376263856887817,40.64806084520083,40.64806084520083,17.29301274254949,17.29301274254949,20.914456458245525,20.914456458245525
pi_3,downstream,4.75,4.800000000000001,1,-0.20063338041305545,-0.20063338041305545,16.418178207992163,16.418178207992163,79.97988276563768,79.97988276563768,-79.37724151478912,-79.37724151478912,15.60543009299025,15.60543009299025,16.67077336308871,16.67077336308871,0.7022651386260987,0.7022651386260987,-5.628671331422805,-5.628671331422805,2.1063828468322754,2.1063828468322754,-0.19580751657485962,-0.19580751657485962,-2.614872694015503,-2.614872694015503,-20.486218387084246,-20.486218387084246,-50.20403166389852,-50.20403166389852,1.1245228785594281,1.1245228785594281,4.765879154205322,4.765879154205322,-0.16810889542102814,-0.16810889542102814,0.9406517744064331,0.9406517744064331,40.477046568762056,40.477046568762056,17.6850485254353,17.6850485254353,20.95357430311803,20.95357430311803
