resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,814,816
0.5,pi_1,809,811
0.5,pi_2,809,811
0.5,pi_3,783,785
0.5,pi_4,806,808
0.5,union,819,821
1.0,pi_0,814,816
1.0,pi_1,809,811
1.0,pi_2,809,811
1.0,pi_3,783,785
1.0,pi_4,806,808
1.0,union,819,821
2.0,pi_0,814,816
2.0,pi_1,809,811
2.0,pi_2,809,811
2.0,pi_3,783,785
2.0,pi_4,806,808
2.0,union,819,821
