backend,batch_size,status,wall_seconds,label_seconds,compile_seconds,restore_seconds,execution_seconds,charged_interactions,useful_interactions,peak_device_memory_mib,endpoint_equal,exact_equal,candidates_per_second
serial,1,completed,24.411079980000068,18.51526949199979,0,6.059142415000224,,368,368,1289,True,True,0.6554400711934399
vectorized,1,completed,17.550208439000016,11.589150362000055,2.3332922539998435,6.0590221989987185,1.7478657019996717,369,369,1231,True,False,0.9116700838973999
vectorized,8,completed,18.203077075000238,12.206120179999743,2.8082417820000956,6.2598801530002675,0.36764790899997024,472,369,1266,True,False,0.8789722712306755
vectorized,16,completed,18.109670784000173,12.101791118000165,2.7004154450000897,5.966401190999932,0.29026927699987937,624,369,1290,True,False,0.8835058456245345
