resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,695,696
0.5,pi_1,702,703
0.5,pi_2,697,697
0.5,pi_3,708,708
0.5,pi_4,712,713
0.5,pi_5,708,709
0.5,union,716,717
1.0,pi_0,695,696
1.0,pi_1,702,703
1.0,pi_2,697,697
1.0,pi_3,707,708
1.0,pi_4,712,713
1.0,pi_5,708,709
1.0,union,716,717
2.0,pi_0,694,696
2.0,pi_1,701,703
2.0,pi_2,697,697
2.0,pi_3,707,708
2.0,pi_4,711,713
2.0,pi_5,707,709
2.0,union,715,717
