resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,711,711
0.5,pi_1,721,721
0.5,pi_2,706,706
0.5,pi_3,723,723
0.5,pi_4,723,723
0.5,union,734,734
1.0,pi_0,711,711
1.0,pi_1,721,721
1.0,pi_2,706,706
1.0,pi_3,723,723
1.0,pi_4,723,723
1.0,union,734,734
2.0,pi_0,710,711
2.0,pi_1,720,721
2.0,pi_2,706,706
2.0,pi_3,722,723
2.0,pi_4,722,723
2.0,union,733,734
