candidate_id,phase,state_sha256,snapshot_context_sha256,parent_group_id,root_cell,full_cell,trajectory_id,trajectory_step,frontwheel_tangent_mps,hip_deg,hip_rate_degps,knee_deg,knee_rate_degps,pitch_deg,rearwheel_tangent_mps,roll_deg,root_vx_mps,root_vy_mps,root_vz_mps,root_wx_degps,root_wy_degps,root_wz_degps,root_x_m,root_y_m,root_z_m,steering_deg,steering_rate_degps,yaw_deg,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,union
pi6_causal_upstream_000000,upstream,2420850c1afe4891dd677521f5df07e665269f2b7804b2e98102328cc4897434,2a27f62186dc5e0e5d41f2f63a0e574a2babaec8cb349e9665ee15ae3759fb2f,dense_v1_train_x2.90_family0,fcd0061c3dfc1adc55b01326c4a0b5344449778108563565d9f02be0ba321e24,1cffaf8c3056dc46fb93ed84b64f3fa10b077a32213afc1f140c558ac1201c1b,dense_v1_train_x2.90_family0/variant_0,8,0.9999608039855958,-64.7874520136433,346.94497768364704,133.05804095680463,-422.05509266541657,-0.123224300615278,0.5974463176727296,-0.9171427378960232,1.0292772054672241,0.016488218680024147,0.10544423013925552,-4.300443342017292,25.628036020688622,7.220654009389455,2.8001387119293213,-0.0025784322060644627,0.11781153082847595,-0.12151125312949536,5.406889164442929,-0.5858808664737442,1,1,1,0,1,1,1,1
pi6_causal_upstream_000001,upstream,41a05fe9ba9a2e07c2a27ee63cb5c475f0c407b490bb3bf45ac99e76892374ad,ea7178b0bb3ef0279014678669db296f1f0b1fd08303050591cab2b6af26f148,dense_v1_train_x2.90_family0,58d4d9709979012f74e4dd55810eb93414d33d420bcb035865d50d72c7114b78,71559b50368ace07f97118c05f66d2b8bd1b703e8f26f11b366d8a8783517549,dense_v1_train_x2.90_family0/variant_0,10,0.6189619636535645,-44.14609100220409,548.8870610239177,106.32069171489944,-907.6365180463144,0.3481341742673943,1.0638008499145508,-1.3633558191296942,0.6206238865852356,-0.04872705787420273,0.04314245656132698,-17.00072504230255,11.304624750946948,-27.60551068164342,2.826860189437866,-0.0032595214433968067,0.11937041580677032,-16.24859314863721,92.32945218128935,-1.0887290268339054,1,1,1,1,1,1,1,1
pi6_causal_upstream_000002,upstream,ce1d999fffa23f906765ab19268ba73f4c5c6f3aacd40f8d518aa74445eac96b,b3c5d0fa82b3cf34137e272c0734629f32b02a5e4d61dcde8c2747b4f651e80e,dense_v1_train_x2.90_family0,f5da945468782e0b795aef2330a2bb74f7fece41b274e86d0029cf002c6f1d5f,09e524e1ae62c790a2072a607f8d33c68dfd4315e6ada0415718aa1b371dac5b,dense_v1_train_x2.90_family0/variant_0,13,-0.6960156631469727,-47.70057950288667,-372.24435353921115,45.275268121074355,-731.2356812204963,26.708951975280446,1.3763305664062502,-2.1348555353115333,1.3854929208755493,0.05557805672287941,2.60603928565979,0.4162581149623315,568.3284021944153,-22.10147274842764,2.8827626705169678,-0.001922436524182558,0.198433056473732,-2.118909522532369,83.68001480508703,-2.842578063152848,1,1,1,1,1,1,1,1
pi6_causal_upstream_000003,upstream,96544fa5e2a5f611532e7f2eea08eebce8e46acd188b79c2eb904f6033d1d717,d1a8ed72be68a1e2e4f30d71d50757d27818e873adc042c49c9e1d21910fc879,dense_v1_train_x2.90_family0,995a04e5e29f4c62515dd14f7d38c5105ab1c2598a399d2ad7ec4795c514fdfa,cd2db37cd05d5bbfd8a76f22516a07fd6367c6c0dd55f9450970c00e7bbe5197,dense_v1_train_x2.90_family0/variant_0,15,0.4549730634689331,-60.665268925000525,-117.33983590288102,61.12445571271131,1063.2128184324374,28.766036603656033,2.567120170593262,-2.6991874853083804,2.238856315612793,0.04395969957113266,3.058767557144165,8.305775554339489,-406.34852625383866,-40.63756284444653,2.9593875408172607,0.0003518171433825046,0.3159020245075226,27.30190535794177,124.58800532934187,-4.617382371422443,1,1,1,1,1,1,1,1
pi6_causal_upstream_000004,upstream,2f0ab1e9ebbce51a0cf555ab557a185747d2a3f25db1c266596c40d307802596,7a8b8837af3c2c31af43a8b54ee043622de3a4b7e0814f6ec336a493544ce81e,dense_v1_train_x2.90_family0,8ea0f60f743fa0ef3f081319a21e63bddb9f12ae5cf16eb381261c71e7a68cd4,6aca46b2d49580056fb7ad9a2228c3556ade89062f1ce972caa0348b50596d6d,dense_v1_train_x2.90_family0/variant_0,16,0.2649894428253174,-62.60062351689115,-76.19421626721227,76.3704556383661,593.8633649348315,22.829595835235267,2.3670050430297853,-2.825178104230223,2.056586503982544,0.03717587888240814,2.673492908477783,1.8323931186906774,-242.53999010639612,-32.9876929174243,3.001737594604492,0.0011737362947314978,0.3728538155555725,37.84539175702907,-79.89007943843035,-5.149230377777598,1,1,1,1,1,1,1,1
pi6_causal_upstream_000005,upstream,ba965d81e4bf9737335308e7402944b7ccad94d81db2623b162cb13576476fe1,16d0f9747aa8014c2335487a2c8946b7bfe3cb84a032b0fec1b1788347fbc909,dense_v1_train_x2.90_family0,58aaf1d34e7c5663eb5052a74fe4956d0905bf1f0590933c1b12513468c3ddd8,58601f22bd7d57fb9be69197d8d2f3293166de76538354bcb60af5c236f8d017,dense_v1_train_x2.90_family0/variant_0,17,-0.0013753050193190577,-64.11844864481888,-48.26442869434415,80.602761866997,-137.4164256473248,21.15797733951827,2.0191566276550295,-3.0112312188082058,1.729327917098999,0.024356098845601082,1.6518104076385498,0.3362950092757295,42.171961426395306,-25.826434233057274,3.0393075942993164,0.0018074754625558853,0.416355162858963,40.409267186533434,-56.2385686824019,-5.697872723818755,1,1,1,1,1,1,1,1
pi6_causal_upstream_000006,upstream,46c8e1a5224bd454aa54f8dd78b3111d12ed0a8cddbb344357dbaf974b2e73c9,153f35d707802c1b7f697b2c496d2c527f9991bc79bfc05c196dc5fc1a68b13f,dense_v1_train_x2.90_family0,b388795825acdd7e3b4e12844e79044000f0553a5520f31bb24e6a41eff759a2,7e440f0b54a4f72a48686a2d099319cf68613918901ce04b9a5759795d675168,dense_v1_train_x2.90_family0/variant_0,19,0.19722711086273195,-52.89683032908146,437.3608089349848,62.49691392453367,-545.2682082355915,17.870819059643008,2.2739356231689456,-3.2690400105494213,1.6393060684204102,-0.002691756933927536,0.45462507009506226,3.8736132948389708,-166.33444938553995,-32.364171778283,3.1051290035247803,0.0018969124648720026,0.4487854540348053,38.4389522713761,21.41563467084644,-6.712528218215938,1,1,1,1,1,1,1,1
pi6_causal_upstream_000007,upstream,5abf24be144ec4dcd12a5139c65fd60efe051244f6bce5015723390e1d6aa222,d3088eae373d1fc78f3ca836100520571cb5dffe89276c7c9afd74a18ac5154d,dense_v1_train_x2.90_family0,9e7974ecb75e2de9f6f7219997a1d1564e973c15844794ca7f5e3f7e47039ab7,afd6f563339ddaa48c2ebbce0ba15cc3437cc5fc8be0b31a9fe6b8e59df0c09c,dense_v1_train_x2.90_family0/variant_0,20,0.16427929401397706,-42.87425513723436,457.38897263821315,48.4041982704247,-670.3219778248149,14.814201688983882,2.2318323898315433,-3.332087674922002,1.5876960754394531,0.011090961284935474,0.331956684589386,4.387039468522476,-131.85728004033805,-35.67305350660109,3.136720895767212,0.0019017020240426064,0.45395487546920776,37.46019640859703,24.325279889346238,-7.224732535035345,1,1,1,1,1,1,1,1
pi6_causal_upstream_000008,upstream,6bb9a6d2ae7b79f9e26218c7c3754900d8063477865dc7f5868637f5e3c196a4,12912a096bef00bae986028b3ed4eca0ef4c1fbcadb9310a3a9c43cd9157d2a4,dense_v1_train_x2.90_family0,bc239564fc5530a65a0df061302760c5ec252419f1bcbb1f1b888588bd82014b,8d66a4968af616ced5e5e8c0cab3b13b88fb1b1530041b9b7f546efe261635e0,dense_v1_train_x2.90_family0/variant_0,22,0.2230409359931946,-24.254225431410596,481.6152164921415,22.164103875569364,-575.6691070237515,8.926512094411517,2.3065732192993167,-3.4156201806541575,1.6403337717056274,0.03790596127510071,0.34858614206314087,4.4749013144582275,-193.05628043765088,-46.5283790224345,3.2003958225250244,0.002983090467751026,0.4674190878868103,35.40330884570978,28.752159424410575,-8.521186288427918,1,1,1,1,1,1,1,1
pi6_causal_upstream_000009,upstream,fffe40ac9aac805fba42007404d3a9e7078ad9f44a93a8db79b9f818b2478cdc,eb3fc2cd90f109d56ea5be87ee2497f475adfbd16b56e13fdcc7094295f44545,dense_v1_train_x2.90_family0,11904b158d70bf62521b9976b709643ade6d6914b8d66e812d693c4ee73a50f7,d649970a8363b92e7a334e60b11757d65f8701a8686a37227176272fd1a4eef9,dense_v1_train_x2.90_family0/variant_0,23,0.2562000393867493,-17.95756282803505,396.85535560946465,16.455322484245986,-309.8870213605558,5.362903675270409,2.3554010391235356,-3.4387700068076685,1.7492799758911133,0.03763220086693764,0.3833465874195099,3.012089518313528,-233.00209538333687,-52.329292835472174,3.234915018081665,0.003788336645811796,0.4770696759223938,34.36843956380447,31.869655837090328,-9.29148109953067,1,1,1,1,1,1,1,1
pi6_causal_upstream_000010,upstream,32c5bd17c29d0c4993e7f7d1d9586d29c246d999f633c6382e5bee2abad1ad4f,21299441be5467657ebdee1ceb6ede7e758914ccfbe2d54a6fdeaba4ce2af555,dense_v1_train_x2.90_family0,b653ab54f14250785cb4ca0e7daa077512fac7e75fccdc719e12f8f1ed9c78aa,f9d70ce1de924fac5ca5495ad2e0cd4a00eea39655db33988092fe1a7474d78d,dense_v1_train_x2.90_family0/variant_0,25,0.2658554005622864,-12.155245411122934,230.51842003506678,19.61984987200315,42.83978658758789,-2.201275327066825,2.3657305145263674,-3.4632810544220693,1.8825123310089111,0.03115350753068924,0.3849000632762909,-1.8075952631352998,-241.44735108449083,-58.35446566462347,3.3091888427734375,0.005259054712951183,0.49785614013671875,35.905167240260226,-7.838119332057887,-11.067740775545037,1,1,1,1,1,1,1,1
pi6_causal_upstream_000011,upstream,a114f3684d0f2d512a851eac4dbdb52772d1b0f58abe0f4351975f3e4ddb19da,0cedeb3fecd06ea71e53b108bf7f4338e2dee57a521dc03d45627726a07a3232,dense_v1_train_x2.90_family0,9c0de83bbc0b0aa43d4fddbeb1483e460f9ca7254346c18109f33f6f0f9e61b5,97657e7b2cfa5b370b7884d5f814ecd1fc7948106f3461c716eb8bb1d1089c73,dense_v1_train_x2.90_family0/variant_0,26,0.23505194187164308,-11.595496894488404,121.79322852475605,24.929452810116178,175.10101084562967,-5.611191696603346,2.3243084716796876,-3.460087147690892,1.90913987159729,0.032783325761556625,0.4206007122993469,-4.079566550203304,-207.5714979334385,-58.1055735712682,3.3474206924438477,0.005981587339192629,0.5083438754081726,36.634959292697744,-4.570091526486579,-12.024487169805829,1,1,1,1,1,1,1,1
pi6_causal_upstream_000012,upstream,730c2eae3ff3f4f42054470d9efac78556da1b99af945e9d263c977d156278ec,32e486ea84a799fda208369b19d0e6d16f7329d01552d41ce54a5475d81853d5,dense_v1_train_x2.90_family0,a3590f52eb4d4f03a2faeb43efbba80d1947049639268460eda6bd3ed04b3f65,b9c49b14f2393b46b65e60bede5e6ac496ea79180f75dd774fcfa746cbdaf4be,dense_v1_train_x2.90_family0/variant_0,27,0.1941355848312378,-13.025274053825513,41.29162858955612,31.826980815156087,223.20647030213635,-8.075015385797455,2.270026321411133,-3.4377784931843376,1.899369239807129,0.03872402757406235,0.4020766317844391,-5.048392171702824,-163.12927383448476,-54.91150390780344,3.3855981826782227,0.006836601532995701,0.519322395324707,37.2367604302784,-0.22222368644201598,-12.99953702918922,1,1,1,1,1,1,1,1
pi6_causal_upstream_000013,upstream,f79f4cd0a6ebe3639b882f3c1e610f50cf3ec8641181321edd3a2e50ddfd9489,c8ef78be6044648a2ae270952fea9628fba14039a90bc5b31feb3480b18348a2,dense_v1_train_x2.90_family0,03da55cdbd070e72785cd0a355cb0e7c3d3855576f90618b9c717d05abafbe15,d7c60ca25ab82f26990cb72a1d0c5bacb894e1c9e66ced5c1ea23e596d176e4c,dense_v1_train_x2.90_family0/variant_0,29,0.07727495789527894,-20.992383215906383,-153.53770748492755,46.87648302857878,306.2440989855945,-9.504787367757814,2.1250274085998537,-3.3150953266920578,1.845668077468872,0.06324294209480286,0.34459784626960754,-3.0559282337276086,-44.44490153310839,-44.80361282303371,3.460026264190674,0.009296572767198086,0.5398491024971008,37.24420533647371,8.952282841358816,-14.885292561909639,1,1,1,1,1,1,1,1
pi6_causal_upstream_000014,upstream,8c44de2bd43e70cfa66b7597c7dd8d7f70803a3895f50be38425eec41f56a21b,492f4e4add199cc105b5d4d1482d7961e42c276df3ffd2e8340326c4b7dc146d,dense_v1_train_x2.90_family0,7508cd51af07abb32fa34b38f93e701451cdf39aab501b97b166cbf1cf9410e4,e3a43d3d831c92fc3c7ad2721a7ba5486677f539ecc387c03f7ed2562b3af78e,dense_v1_train_x2.90_family0/variant_0,30,-0.037913401126861576,-29.317794710336013,-342.4919948731222,55.58316422021498,367.4445883641464,-7.326845104110739,1.9769429779052736,-3.2078722985961634,1.7808940410614014,0.09458469599485397,0.39853447675704956,0.13518499836317,76.74600675969009,-37.677054914744936,3.4955995082855225,0.011261270381510258,0.5506832003593445,37.43499642565427,10.995604794780768,-15.804854721654863,1,1,1,1,1,1,1,1
pi6_causal_upstream_000015,upstream,b6df4c076e2253f5dbda39a8d44ba3b2712bd462ae0179cfa32266069ed9cd8c,ac7997716b3f30003d1ffe778159021d593b57679a001731056f7ab359ff8448,dense_v1_train_x2.90_family0,e7466475c86f0e0ed444decdc418e294660e613f795d6cfa79480f56f7442f22,a5cd87d2cbca8c5b41d72157f18763df1c791aaf2565c836a3759719bb50a982,dense_v1_train_x2.90_family0/variant_0,31,-0.08469683170318604,-40.35545895625207,-463.2128290566729,65.73981944056402,465.03381213091166,-3.71639216922709,1.9181533813476563,-3.088180559718526,1.745710015296936,0.12179239094257355,0.5125923752784729,3.4642198668380457,124.82361953495062,-32.587915115114285,3.530198574066162,0.013827180489897728,0.5634481906890869,37.20249678630703,16.630704666658986,-16.678711386416886,1,1,1,1,1,1,1,1
pi6_causal_upstream_000016,upstream,283243e031fcc5b3d3245165489aa493cc9e0873cd6cd8d76f5ff315d68555aa,c78de35937748a7a39d27177ebeaacccf279720e3d1ac3728a8ce9619b532217,dense_v1_train_x2.90_family0,503bee37fb8c0db635f878bf885597667f663b135e73e0888cb18194186589b5,2dd7fd90e2ef7a6141ee1ccf9806af1c27116fe7a18316b765a554a746c16208,dense_v1_train_x2.90_family0/variant_0,33,0.24829790592193607,-56.151948223347794,-239.22458896251524,94.65494034838194,826.5853952414411,-5.513618343220574,2.336995010375977,-2.8355002980793658,1.827811598777771,0.12216314673423767,0.8176515698432922,4.589442306178872,-217.96839822765358,-30.074060575996505,3.6019155979156494,0.018886741250753403,0.5940316319465637,37.055914096529385,-0.8067049984120377,-17.86297631401493,1,1,1,1,1,1,1,1
pi6_causal_upstream_000017,upstream,8ce8465957e72417c922f0fdbc7cfe663b33281ebd8813c63158f8da544d4eec,b4d9d02019496ef204a1c4ebb289bd0294603c9d6acfca2e286941508b9448a7,dense_v1_train_x2.90_family0,07582cf4ec7ae2b4bd6e0462de6f75c589e7f7a4b710195e52a4ce9e22278c20,96abe8d0e01af1be32ef1d5d55d931159be1c1f2de5bc2ab56821d1ab6c389e1,dense_v1_train_x2.90_family0/variant_0,34,0.23889575481414796,-60.90132709290533,-173.59782281309327,109.51832673711095,646.2795480218299,-9.366291437894,2.324305801391602,-2.6964277784961226,1.7911131381988525,0.12258113920688629,0.4464612603187561,4.6937627735802385,-207.58237159459716,-25.90073815349055,3.6376876831054688,0.021509520709514618,0.6075385808944702,39.01325848245287,-30.397258297332336,-18.239620049225945,1,1,1,1,1,1,1,1
