feature,fit_min,fit_max,development_min,development_max,fit_scale,max_abs_normalized_development
actor_observation_000,-0.4386219084262848,0.7003756165504456,-0.45534947514533997,0.6105732917785645,0.2531522810459137,2.107666732867292
actor_observation_001,-0.09829381853342056,0.32327306270599365,-0.13996315002441406,0.1859777569770813,0.058032386004924774,3.2044774825955917
actor_observation_002,-0.999987006187439,-0.7129998207092285,-0.9999043941497803,-0.7910926342010498,0.05379818379878998,3.1397053182045433
actor_observation_003,-1.2656335830688477,0.6440173983573914,-0.5562373995780945,0.7530731558799744,0.24497343599796295,3.1680965272940713
actor_observation_004,-13.330611228942871,14.749719619750977,-11.93700885772705,12.142630577087402,4.544186592102051,2.689695389683468
actor_observation_005,-1.0631115436553955,1.1373993158340454,-1.6165530681610107,1.1373971700668335,0.37894541025161743,3.6743874189971795
actor_observation_006,-43.567230224609375,49.45340347290039,-46.364585876464844,40.820945739746094,20.995576858520508,2.192166635824701
actor_observation_007,-9.706559181213379,5.52003288269043,-15.22983455657959,5.5341057777404785,1.4028069972991943,10.751586294416244
actor_observation_008,-167.48098754882812,184.02203369140625,-160.49534606933594,185.748779296875,83.42806243896484,2.2652619612032208
actor_observation_009,-0.6522279977798462,0.7559071779251099,-0.6995524764060974,0.7313158512115479,0.3173530399799347,3.546366607219108
actor_observation_010,-1.2453455924987793,0.016779769212007523,-1.2431840896606445,-0.03259142488241196,0.3826446533203125,1.8942518955679009
actor_observation_011,-0.04301696643233299,2.507432222366333,-0.04863079637289047,2.507431983947754,0.7370892763137817,1.9074855498481116
actor_observation_012,-4.226546764373779,4.00816535949707,-4.045324802398682,3.5202548503875732,1.1848371028900146,3.6651087257702732
actor_observation_013,-11.914434432983398,11.776799201965332,-10.043728828430176,10.666241645812988,4.739257335662842,2.2622993327547505
actor_observation_014,-30.196691513061523,26.35765838623047,-28.683719635009766,24.24615478515625,9.779921531677246,2.8522426543329
actor_observation_015,-25.594459533691406,29.21731948852539,-15.74233627319336,29.217151641845703,9.792842864990234,2.619018599528268
