resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,681,682
0.5,pi_1,683,684
0.5,pi_2,679,680
0.5,pi_3,675,676
0.5,pi_4,683,684
0.5,union,683,684
1.0,pi_0,681,681
1.0,pi_1,683,683
1.0,pi_2,679,679
1.0,pi_3,675,675
1.0,pi_4,683,683
1.0,union,683,683
2.0,pi_0,679,681
2.0,pi_1,681,683
2.0,pi_2,677,679
2.0,pi_3,673,675
2.0,pi_4,681,683
2.0,union,681,683
