candidate_index,phase,full_cost,first_success_cost,label,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6
717,upstream,193,27,1,success,untested,untested,untested,untested,untested,untested
718,upstream,183,23,1,success,untested,untested,untested,untested,untested,untested
719,upstream,223,24,1,success,untested,untested,untested,untested,untested,untested
720,upstream,198,20,1,success,untested,untested,untested,untested,untested,untested
721,upstream,175,20,1,success,untested,untested,untested,untested,untested,untested
722,upstream,154,20,1,success,untested,untested,untested,untested,untested,untested
723,upstream,137,20,1,success,untested,untested,untested,untested,untested,untested
724,upstream,132,19,1,success,untested,untested,untested,untested,untested,untested
725,upstream,118,16,1,success,untested,untested,untested,untested,untested,untested
726,upstream,113,16,1,success,untested,untested,untested,untested,untested,untested
727,downstream,104,14,1,success,untested,untested,untested,untested,untested,untested
728,downstream,96,13,1,success,untested,untested,untested,untested,untested,untested
729,downstream,87,13,1,success,untested,untested,untested,untested,untested,untested
730,downstream,71,10,1,success,untested,untested,untested,untested,untested,untested
731,downstream,65,9,1,success,untested,untested,untested,untested,untested,untested
732,downstream,50,7,1,success,untested,untested,untested,untested,untested,untested
733,downstream,44,6,1,success,untested,untested,untested,untested,untested,untested
734,downstream,32,5,1,success,untested,untested,untested,untested,untested,untested
735,downstream,25,4,1,success,untested,untested,untested,untested,untested,untested
736,downstream,8,1,1,success,untested,untested,untested,untested,untested,untested
737,upstream,43,31,1,success,untested,untested,untested,untested,untested,untested
