resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,672,673
0.5,pi_1,686,687
0.5,pi_2,714,715
0.5,pi_3,697,698
0.5,pi_4,710,711
0.5,pi_5,718,719
0.5,union,734,735
1.0,pi_0,671,673
1.0,pi_1,684,687
1.0,pi_2,712,715
1.0,pi_3,695,698
1.0,pi_4,708,711
1.0,pi_5,716,719
1.0,union,732,735
2.0,pi_0,667,673
2.0,pi_1,680,687
2.0,pi_2,708,715
2.0,pi_3,692,698
2.0,pi_4,704,711
2.0,pi_5,712,719
2.0,union,728,735
