resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,252,252
0.5,pi_1,254,254
0.5,pi_2,250,250
0.5,pi_3,253,253
0.5,union,254,254
1.0,pi_0,252,252
1.0,pi_1,254,254
1.0,pi_2,250,250
1.0,pi_3,253,253
1.0,union,254,254
2.0,pi_0,252,252
2.0,pi_1,254,254
2.0,pi_2,250,250
2.0,pi_3,253,253
2.0,union,254,254
