phase,start_index,end_index,count,pos_x_p05,pos_x_p50,pos_x_p95,pos_x_min,pos_x_max,pos_z_p05,pos_z_p50,pos_z_p95,pos_z_min,pos_z_max,vel_x_p05,vel_x_p50,vel_x_p95,vel_x_min,vel_x_max,vel_z_p05,vel_z_p50,vel_z_p95,vel_z_min,vel_z_max,roll_angle_p05,roll_angle_p50,roll_angle_p95,roll_angle_min,roll_angle_max,pitch_angle_p05,pitch_angle_p50,pitch_angle_p95,pitch_angle_min,pitch_angle_max,yaw_angle_p05,yaw_angle_p50,yaw_angle_p95,yaw_angle_min,yaw_angle_max,hip_position_p05,hip_position_p50,hip_position_p95,hip_position_min,hip_position_max,knee_position_p05,knee_position_p50,knee_position_p95,knee_position_min,knee_position_max,hip_velocity_p05,hip_velocity_p50,hip_velocity_p95,hip_velocity_min,hip_velocity_max,knee_velocity_p05,knee_velocity_p50,knee_velocity_p95,knee_velocity_min,knee_velocity_max,action_hip_p05,action_hip_p50,action_hip_p95,action_hip_min,action_hip_max,action_knee_p05,action_knee_p50,action_knee_p95,action_knee_min,action_knee_max,action_steering_p05,action_steering_p50,action_steering_p95,action_steering_min,action_steering_max,action_rearwheel_p05,action_rearwheel_p50,action_rearwheel_p95,action_rearwheel_min,action_rearwheel_max
approach,0,113,114,1.5453892465177488,1.8979770116813923,2.262595240772478,1.5068061552141856,2.307473661741498,0.2472025191374273,0.25434392508793086,0.2647073154017304,0.2470506637351192,0.2649548977953473,3.31115548449227,3.497336366947006,3.9601112705243415,3.153290878668946,4.038221513782492,-0.456657379552369,0.055244300165692053,0.2787636965292509,-0.5263196234480192,0.7827213864843524,-0.009909476836654045,0.40371714629890215,0.5646383047718224,-0.0266702602092131,0.5773031013268123,-1.4235184898419926,0.13589580957690645,2.405963333299726,-1.5286577482537718,2.4987317560867943,-0.5765700682097545,1.2735542121603856,2.043335192474756,-0.6183009838890671,2.096879995238396,-1.30275121068987,-1.2154474547774385,-1.1224965607656425,-1.3112803435919318,-1.0629680711457723,2.0917702139469476,2.4545360262951434,2.5204618593776735,1.86196211045508,2.523166891575405,-4.429073393465393,-0.1376194130605013,7.91221271300839,-5.197741036457363,10.50797472059732,-19.123005621233773,-0.4281282201244701,2.3504122866053794,-22.248180909096803,2.4270274177169444,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.121622455,1.0,-1.0,1.0,-1.0,0.5822222699999999,1.0,-1.0,1.0
takeoff,113,129,17,2.313596649998723,2.3704955896173705,2.4250495744267226,2.307473661741498,2.4307729974389227,0.2553357296380825,0.273270560288535,0.30246602692735014,0.2543699047498994,0.3059044940732511,3.5287274054716797,3.9206057872237015,4.056209383206729,3.464287642124777,4.090042146520496,0.6424482369095293,1.7835970275940345,2.260865557752746,0.4247496109166727,2.3169746463234127,0.5554681518444489,0.6002745237158595,0.6856701514299965,0.5518783082119623,0.6969189129896705,-0.25671694404320616,1.310164240751585,2.560173846591619,-0.3095190342076797,2.585636848653297,-1.5410519660899908,-0.3274773503386476,0.36598331038264464,-1.6679474267241126,0.4224622051969667,-1.0454219522833363,-1.0117698527556174,-0.9923057272691436,-1.0629680711457723,-0.9905554798014664,1.663028364725185,1.6730369801485572,1.8304483479917333,1.6625417739709227,1.86196211045508,-5.60562722093361,0.8452737910588883,10.612026385847836,-7.093614100591208,14.456859929439712,-19.273315524247604,-1.7174899498343137,3.91841688455459,-21.644130190039885,5.402403983679792,-1.0,-0.9537194,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
flight_ascent,129,220,92,2.4638535572123357,2.759889189137674,3.0699647366659746,2.4307729974389227,3.1042915798882267,0.3263819306617255,0.5044691199330013,0.5512974008793485,0.3059044940732511,0.5515475838251305,3.4810386707823886,3.738126380385963,3.80512354212977,3.401186590997833,3.810793648124349,0.058050039069603786,1.583416081115588,2.409422758863759,-0.003901009364096,2.536448209545862,0.7654214883089829,1.473149142215052,2.1692099358750596,0.6969189129896705,2.2337664795876515,-4.962982148863576,-1.930804157219181,0.9135289513771369,-5.007207779579365,1.310164240751585,-2.246029056675247,-1.411024292610807,-0.7042943780077103,-2.299355312313213,-0.6432846512453742,-1.2992149254668963,-1.2055567221455004,-1.0096477999773363,-1.2999167302003225,-1.0060995186659187,1.734859345441911,2.493801129291265,2.5754745869684785,1.6812160543400718,2.577113531776893,-4.393686860913531,-1.2286077550980967,1.3346589987605761,-5.856731652108174,2.8471706187617527,-1.571500647209895,5.300160559690081,11.038827623355232,-1.5842873823654169,12.597092240142938,-1.0,-1.0,0.7468254100000002,-1.0,1.0,-0.5898345650000001,1.0,1.0,-1.0,1.0,-1.0,0.161078228,1.0,-1.0,1.0,-1.0,-0.66444165,1.0,-1.0,1.0
flight_descent,220,329,110,3.1453169997970885,3.5125132243959594,3.8726413434708182,3.1042915798882267,3.911350602473696,0.4047512912178351,0.5030830069688675,0.55102781292335,0.4033827640857323,0.5515475838251305,3.4752034209364515,3.740330399107589,3.7588321865885934,3.4281721305438024,3.775876250974692,-1.4700912064895386,-0.6544528072890232,0.36491260616104726,-1.536836609136811,0.4463707291652573,2.343540971908611,2.966267237233656,4.616050051617666,2.2337664795876515,4.659481726329815,-1.5839038747211642,3.091893890981763,5.519548911637624,-1.7965966689865522,5.66418012604909,-3.5195988643300296,-2.5142199105976033,-1.821694205766967,-3.6203923771991056,-1.7629431969923155,-1.3010957444877531,-1.2988949854128462,-1.2062835666002902,-1.3016204251949617,-1.190243208869583,2.47562878754627,2.500446096096221,2.520689548784903,2.475182743617662,2.52366056357154,-4.919059354216616,0.0126790835181468,5.443570403846486,-5.5146862561373,6.614498207311361,-1.3793122354905372,0.11175873064882155,0.8940591075366311,-1.7768512088539952,1.4475970004525265,-1.0,-1.0,-1.0,-1.0,-0.570001,-0.1116809789999999,1.0,1.0,-1.0,1.0,-1.0,-0.047004127,1.0,-1.0,1.0,-1.0,-0.7093547,1.0,-1.0,1.0
landing,329,379,51,3.9285779302246526,4.078522582287355,4.2256918191694535,3.911350602473696,4.241921263567887,0.41276175139822535,0.4178386225928698,0.418359729138593,0.4112162543408351,0.4183955821399471,3.2368138384681813,3.292523794353854,3.422524170732893,3.2063103636384644,3.476021044327283,-0.059745488224528846,0.0527163306252459,0.28014723087536697,-0.103273362153267,0.344258014086717,2.9979795997159657,4.013499750005262,4.399391349054314,2.8527293775126394,4.451588590928838,-5.424287694593454,-3.878680546709752,-1.204804826687549,-5.467405913259722,-1.1337645368046725,-8.212494020604229,-5.758517667885583,-2.9431031441392688,-8.233235625949623,-2.6821913856769566,-1.315953058293711,-1.306009151002916,-1.2994973238818814,-1.3162725639852169,-1.2990475324527542,2.406121520645458,2.4637145267135505,2.492872183009529,2.392044613180137,2.500417480647061,-1.3738785217669987,-0.1141371640635895,0.6798784191865652,-3.0370822074178143,0.7853759292741731,-3.6884259484693187,-0.7875942948862553,0.5004072905877333,-4.569165955990572,0.9719875391800166,-1.0,-1.0,-1.0,-1.0,-0.8511692,-0.69870764,1.0,1.0,-1.0,1.0,-1.0,-0.14625509,1.0,-1.0,1.0,-1.0,0.9996937,1.0,-1.0,1.0
recovery,379,640,262,4.3265165399754535,5.0555099736228275,5.75656564412658,4.241921263567887,5.83011159683169,0.4082557280309247,0.4123913445318304,0.42636454602825224,0.4068979732464301,0.4274348579335104,2.843996330295378,3.0379832760322847,3.2351864962995607,2.7837064620891487,3.2756064917858865,-0.3979678261152808,-0.0192096443834383,0.2986255453413697,-0.4761712897517671,0.3520519152757606,-12.4234452758141,-2.9277424858432264,2.121435720263684,-13.98016393734071,2.8527293775126394,-2.1119813752715735,-0.5182419229935433,1.6475971098105278,-2.867608905901125,1.7295361633644373,-8.13344487575726,-7.14351806980058,-4.693587870321364,-8.465329037903127,-4.1313985138661495,-1.3055397616439468,-1.2888018744371506,-1.2273696731015358,-1.3088843126100165,-1.2089564819535916,2.2987330519927216,2.4570041281873705,2.5377791503693623,2.2859651083952817,2.5446721612449505,-2.143700390223011,-0.018168274128065702,2.5174790287703717,-2.529669810869744,6.794886975592612,-3.688780698495787,0.44429769577835443,2.5713950683430005,-5.354685317036757,4.036147068104876,-1.0,-1.0,-0.7575543830000008,-1.0,1.0,-0.43209156349999994,1.0,1.0,-1.0,1.0,-1.0,0.013795085699999998,1.0,-1.0,1.0,-1.0,-0.20738332,1.0,-1.0,1.0
