key,state_sha256,snapshot_context_sha256,proposer,phase,witnessed,root_cell,root_x_m,root_y_m,root_z_m,root_vx_mps,root_vz_mps,roll_deg,pitch_deg
26913a3104f26f114453f9addb0785a55710a1d7f17e5784521e4c0516cef2d2,fcb7c8c35709fe29b890d0786c45b400ecb7072847cb282e4b1d91befa7be86b,de967c10b16a5c9fbeb7007621440c39b85c237856a9fe030171f37e4d669c61,pi_0,upstream,True,2638e118e58ea9b0bfa661d4b7a261374a245dec8dbdf859683db9ee89ceae12,2.754566192626953,-0.009317914955317974,0.1260146200656891,1.6534860134124756,0.04030705988407135,-2.9532964194968416,2.655692246179477
390297c906f6f55193d0be5a319a8ab87ac6a47836daacb57bb6524af5a9a7a6,4a8a75abb30c463a4888af05ee95a6020038817d36beeaa6a31338b33ed2e880,0bd8c8a67ca4e09e6257ee90307818eab94ef65b23f6c009cea8fdae00a4f813,pi_0,upstream,True,e76a9f6fcd63b2fa3b2de6f4f29006793f5a34713b8dc27e3c6b660138335630,2.789651870727539,-0.006238687317818403,0.11865336447954178,1.8281879425048828,-0.3859109580516815,-2.48339135956847,0.029234801911842412
375f3e228b990a349c34aa11effcdd008bc24e02d788c470765bff8dfe09c3d6,52c5ebac6a1970f733349e32ffb96d83239335493060bdeb926f2f18068a684d,605f65c1b2fd4f2d94f291b249364ab239746eb71f2e178a03ff91dfceadbd02,pi_0,upstream,False,d97c1ab1dc52a4a6775ace369b1c08e08b431d6d405db1cd29dccab8500371b3,2.82649827003479,-0.004353681113570929,0.12397870421409607,0.6980649828910828,0.4232966899871826,-3.05452437520484,0.7321096818011787
5c3db02c591297d205778cc36e175de71d78fd0cc2039882f608a8692addd4cf,11e897d991dfaea0b480ed596d3c2dc4267d21592f559e53e904aacbee782d0e,94111714e31206b7f22c1271834ca347ba99e29aa7a743bec81114a80b7c69f0,pi_0,upstream,False,5cbf7d6d3ca0d385fc68569a81bafdaa4bfc8fe37e9f9fb35d7984239d37b6b2,2.898489236831665,-0.0013183453120291233,0.20134207606315613,1.512036919593811,1.9811553955078125,-4.756483999020365,24.845242329493598
79efddc0c6bf29807f215057ceb2a418cf5d1568656f12c450078def7061153d,973977870c8da28ba119268f6437b0f49be83f0a650b4fb7c6d30b3172754bcf,328e6be3d7130f0f82c8fbb4106d64649732a41988c6cbf1bf389f8357b718c4,pi_0,upstream,False,c38f31bf5058e926ec436bfc9758e442b96143b067a9abb5bbd3d8340fb4cbdd,2.934511184692383,-0.0002750394050963223,0.24583594501018524,2.0799078941345215,2.521116256713867,-5.2282305647792775,24.015681656466125
6b9e181a2fceeb6b2b25a63ff2b12602c465be6b7d8b5f6564aee2c685cebcfc,0611f4fe2701482d500d293a123361ba0062a9087cd6b22fefff1e68df44b7cf,d74e26ce680fefb32696f61944549fbd2216564fc71fdeafb242556ae8fca37c,pi_0,upstream,False,3460c2d5e2809505fcd6fab8b4e3c5f816fba54271897d55a512fe4447926e1c,2.9759597778320312,0.0011175641557201743,0.29664933681488037,2.044795036315918,2.3971168994903564,-5.662582875681068,21.196241940347484
6dcb941939eb77c8b3ecb66fa43839ccfec3753a26511c2e6e6b4b08d412dac8,a490f13113234d428af0abaef7a6b616a93386ee249d47048a60671b6f9b31d5,70789a04dc647df1c398a2c69ad32e67523cce50075bb285ee7808c9df72304e,pi_0,upstream,False,afec0c56ca50d572cb6215f0d73a4469b9ae2f3edc8401d69cfd048be06dd164,3.0380260944366455,0.0016855690628290176,0.34702998399734497,1.122889518737793,0.24876531958580017,-6.732955388821919,22.479075141068495
0c31089bef5af4b04235962588a471873f259a8e623a3c7dc850fda3af3482af,444fd177f66f87cca0c28a14a07030a408f6a23c1ee7d129f83b7e7f0b0e97e5,33f925741b484bb04b14e35df13ba7863fe95c8ed0028ea1f40edbc90313219e,pi_0,upstream,True,19ec13093aae4e30ae3fa1b0d08e5438eb1422d6da12818903ac8402c9407823,3.088850975036621,0.0011478246888145804,0.3584768772125244,1.4028277397155762,0.5199801921844482,-7.452364437233661,20.597655849072808
3e06b12f37885b09093f87b61e5f7b3d852fc8b0274789b384005ae59769af67,de3f212048e58fd0ef0046ea913b5e32155bb2908e6c6d37993ddcf6f2d7775e,e9884eb6757d0930cf94b055505e7cd80fd2d10a3791f0630e07e67a1b34c030,pi_0,upstream,True,89cb9c0dea6b3ebc221e0665ed0f8d0e54122d0a83203189fcc86e2f85e20304,3.1517233848571777,0.003236847696825862,0.3833760917186737,1.691629409790039,0.4132140278816223,-8.150312071079382,19.118305023739758
270ee44317aee6eabba5e3f2c02f21dfe2823cb2b0e9c3c256bb305755e4c6e2,8502d7c4000f7c8a30e274d6840ac8490e92a367a67a25f0d0c1a926e0460709,2aa2ad7f4dfd3318684e6312f40575daf20fc0f5acf5b84a2be8653594bf8c81,pi_0,upstream,True,2a074a02143ec134717da85025c535ca616326399322c6249ece11916a05ad65,3.187635660171509,0.004382732789963484,0.3935050368309021,1.7912358045578003,0.36421674489974976,-8.415487179601858,15.932745357336355
