arm,phase,x_left_m,x_right_m,count,min_root_z_m,max_root_z_m,min_root_vz_mps,max_root_vz_mps
checkpoint_128000,downstream,3.6500000000000004,3.7,2,0.5373346209526062,0.6497633457183838,-0.19321633875370026,-0.14558671414852142
checkpoint_128000,downstream,3.7,3.75,2,0.48672765493392944,0.5224952101707458,-2.290522813796997,-1.250609278678894
checkpoint_128000,downstream,3.75,3.8000000000000003,3,0.4315267503261566,0.6244750618934631,-3.014514207839966,-1.0430015325546265
checkpoint_128000,downstream,3.8000000000000003,3.85,4,0.37831196188926697,0.6979735493659973,-2.2907047271728516,-0.901759684085846
checkpoint_128000,downstream,3.85,3.9000000000000004,6,0.576565682888031,0.6694302558898926,-1.9162380695343018,-0.7010656595230103
checkpoint_128000,downstream,3.9000000000000004,3.95,5,0.4386328160762787,0.6107301115989685,-2.875213623046875,-1.9279131889343262
checkpoint_128000,downstream,3.95,4.0,7,0.3842199146747589,0.5809208750724792,-3.483823537826538,-2.4573657512664795
checkpoint_128000,downstream,4.0,4.05,6,0.2713882625102997,0.5232974886894226,-3.4250659942626953,-0.5740798115730286
checkpoint_128000,downstream,4.05,4.1000000000000005,5,0.3588126003742218,0.4781888723373413,-2.403452157974243,-1.8667757511138916
checkpoint_128000,downstream,4.1000000000000005,4.15,5,0.28610944747924805,0.4004799425601959,-2.7372663021087646,-0.8072516322135925
checkpoint_128000,downstream,4.15,4.2,1,0.33687624335289,0.33687624335289,-2.3585846424102783,-2.3585846424102783
checkpoint_128000,downstream,4.2,4.25,1,0.27210795879364014,0.27210795879364014,-1.6661031246185303,-1.6661031246185303
checkpoint_128000,upstream,2.75,2.8000000000000003,8,0.11807501316070557,0.11894949525594711,-0.06603679060935974,0.0739481970667839
checkpoint_128000,upstream,2.8000000000000003,2.85,8,0.11943274736404419,0.1784246861934662,0.0363757461309433,2.0677809715270996
checkpoint_128000,upstream,2.85,2.9000000000000004,8,0.1459009051322937,0.2954096794128418,1.3175406455993652,3.1468889713287354
checkpoint_128000,upstream,2.9000000000000004,2.95,5,0.2580033838748932,0.3554075360298157,2.6136786937713623,3.081310987472534
checkpoint_128000,upstream,2.95,3.0,4,0.24435469508171082,0.4489803612232208,1.8872963190078735,2.6082961559295654
checkpoint_128000,upstream,3.0,3.0500000000000003,11,0.29667091369628906,0.4771381914615631,1.0593522787094116,2.475432872772217
checkpoint_128000,upstream,3.0500000000000003,3.1,12,0.34202855825424194,0.5066068172454834,0.5799188613891602,2.130112886428833
checkpoint_128000,upstream,3.1,3.1500000000000004,7,0.3910462558269501,0.5272422432899475,0.58323734998703,1.1309027671813965
checkpoint_128000,upstream,3.1500000000000004,3.2,6,0.40110650658607483,0.538198709487915,0.49279889464378357,0.8258805871009827
checkpoint_128000,upstream,3.2,3.25,9,0.43226686120033264,0.5593087077140808,0.41911861300468445,0.7548419833183289
checkpoint_128000,upstream,3.25,3.3000000000000003,9,0.42108556628227234,0.5686450600624084,0.34234052896499634,0.7418220043182373
checkpoint_128000,upstream,3.3000000000000003,3.35,4,0.43725883960723877,0.5201519131660461,0.3728348910808563,0.7506353259086609
checkpoint_128000,upstream,3.35,3.4000000000000004,8,0.47866854071617126,0.584969162940979,0.18708334863185883,0.7767544984817505
checkpoint_128000,upstream,3.4000000000000004,3.45,11,0.45812949538230896,0.5937908887863159,0.46439436078071594,0.8631651997566223
checkpoint_128000,upstream,3.45,3.5,8,0.4848055839538574,0.6053357124328613,0.42905503511428833,0.9390726685523987
checkpoint_128000,upstream,3.5,3.5500000000000003,5,0.5544434189796448,0.6181812286376953,0.2155362218618393,0.6265588998794556
checkpoint_128000,upstream,3.5500000000000003,3.6,10,0.5126769542694092,0.6457973122596741,0.22050975263118744,0.9363416433334351
checkpoint_128000,upstream,3.6,3.6500000000000004,8,0.536973774433136,0.6570160388946533,0.10742181539535522,0.609494686126709
checkpoint_128000,upstream,3.6500000000000004,3.7,4,0.5895640254020691,0.6567198038101196,0.17207781970500946,0.7183296084403992
checkpoint_128000,upstream,3.7,3.75,6,0.6014897227287292,0.6878244876861572,0.12745904922485352,0.8811533451080322
checkpoint_128000,upstream,3.75,3.8000000000000003,5,0.6014877557754517,0.7074058651924133,0.04858359321951866,0.4184150993824005
checkpoint_128000,upstream,3.8000000000000003,3.85,3,0.6225249171257019,0.6951319575309753,-0.041292790323495865,0.11631277948617935
checkpoint_32000,downstream,3.5500000000000003,3.6,1,0.5598166584968567,0.5598166584968567,-0.058884382247924805,-0.058884382247924805
checkpoint_32000,downstream,3.6,3.6500000000000004,3,0.5399369597434998,0.5920988321304321,-0.9399026036262512,-0.06802991032600403
checkpoint_32000,downstream,3.6500000000000004,3.7,2,0.5908634066581726,0.7024732828140259,-0.396084725856781,-0.24339476227760315
checkpoint_32000,downstream,3.7,3.75,2,0.45238161087036133,0.48942679166793823,-2.0797276496887207,-1.5932044982910156
checkpoint_32000,downstream,3.75,3.8000000000000003,9,0.4067774713039398,0.6910607814788818,-2.455129861831665,-0.05908369645476341
checkpoint_32000,downstream,3.8000000000000003,3.85,5,0.30092522501945496,0.6708695888519287,-2.7977147102355957,-0.19514016807079315
checkpoint_32000,downstream,3.85,3.9000000000000004,5,0.4977237284183502,0.5795386433601379,-2.4501543045043945,-0.20712222158908844
checkpoint_32000,downstream,3.9000000000000004,3.95,7,0.43927446007728577,0.6069385409355164,-3.2104129791259766,-2.15480899810791
checkpoint_32000,downstream,3.95,4.0,7,0.3739575147628784,0.520447850227356,-2.9292969703674316,-1.8764708042144775
checkpoint_32000,downstream,4.0,4.05,5,0.29770687222480774,0.4354289472103119,-3.1583919525146484,-1.7391635179519653
checkpoint_32000,downstream,4.05,4.1000000000000005,5,0.35106995701789856,0.4178350865840912,-2.695665121078491,-2.453220844268799
checkpoint_32000,downstream,4.1000000000000005,4.15,2,0.310380220413208,0.33560407161712646,-2.9320385456085205,-2.696558713912964
checkpoint_32000,upstream,2.8000000000000003,2.85,15,0.11739374697208405,0.11909563839435577,0.028035135939717293,0.15533211827278137
checkpoint_32000,upstream,2.85,2.9000000000000004,8,0.11793868988752365,0.15974973142147064,0.08273235708475113,2.1053671836853027
checkpoint_32000,upstream,2.9000000000000004,2.95,8,0.1337326020002365,0.36422523856163025,1.0461657047271729,3.4692060947418213
checkpoint_32000,upstream,2.95,3.0,7,0.23168820142745972,0.42688074707984924,2.702420234680176,3.4424664974212646
checkpoint_32000,upstream,3.0,3.0500000000000003,5,0.27965712547302246,0.5014974474906921,1.1885004043579102,2.6656477451324463
checkpoint_32000,upstream,3.0500000000000003,3.1,6,0.32356226444244385,0.5287244319915771,0.6123266220092773,2.2165777683258057
checkpoint_32000,upstream,3.1,3.1500000000000004,8,0.43472743034362793,0.5034002661705017,0.14337822794914246,1.5605131387710571
checkpoint_32000,upstream,3.1500000000000004,3.2,6,0.39593660831451416,0.5632100105285645,0.41533058881759644,1.442209243774414
checkpoint_32000,upstream,3.2,3.25,10,0.417941689491272,0.5914257764816284,0.17961286008358002,1.0492546558380127
checkpoint_32000,upstream,3.25,3.3000000000000003,5,0.44434240460395813,0.6047517657279968,0.4833321273326874,0.6151378750801086
checkpoint_32000,upstream,3.3000000000000003,3.35,5,0.46222618222236633,0.5634554624557495,0.2620822489261627,0.49845829606056213
checkpoint_32000,upstream,3.35,3.4000000000000004,10,0.46139442920684814,0.6397243738174438,0.3513503074645996,0.6024658679962158
checkpoint_32000,upstream,3.4000000000000004,3.45,6,0.47866353392601013,0.6496530175209045,0.3494017720222473,0.48454540967941284
checkpoint_32000,upstream,3.45,3.5,5,0.4880005121231079,0.6092442870140076,0.3180021047592163,0.9200260639190674
checkpoint_32000,upstream,3.5,3.5500000000000003,9,0.5554819703102112,0.6709001660346985,0.18144485354423523,0.44116106629371643
checkpoint_32000,upstream,3.5500000000000003,3.6,7,0.5086541771888733,0.698674201965332,0.08184710890054703,0.6258647441864014
checkpoint_32000,upstream,3.6,3.6500000000000004,5,0.5953686833381653,0.7051641941070557,0.06570955365896225,0.6488983631134033
