resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,529,530
0.5,pi_1,588,590
0.5,pi_2,887,889
0.5,pi_3,841,843
0.5,pi_4,871,873
0.5,pi_5,860,862
0.5,union,924,926
1.0,pi_0,528,530
1.0,pi_1,585,588
1.0,pi_2,884,887
1.0,pi_3,838,841
1.0,pi_4,868,871
1.0,pi_5,857,860
1.0,union,921,924
2.0,pi_0,523,530
2.0,pi_1,581,589
2.0,pi_2,878,888
2.0,pi_3,832,842
2.0,pi_4,862,872
2.0,pi_5,851,861
2.0,union,915,925
