phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,55,2.75,pi_0,16,14,10,8,9,0.11877036839723587,0.11949126422405243,1.7546637058258057,1.8270424604415894,0.017151812091469765,0.09747271239757538,-0.11303913803733406,0.05459302504599846
upstream,55,2.75,pi_1,16,12,10,7,8,0.11877036839723587,0.1200510561466217,1.7251263856887817,1.8270424604415894,0.017151812091469765,0.09747271239757538,-0.608352307833129,0.05459302504599846
upstream,55,2.75,pi_2,16,16,10,10,11,0.11877036839723587,0.12090631574392319,1.5684734582901,1.8270424604415894,0.017151812091469765,0.1444793939590454,-0.9368096608661157,0.05459302504599846
upstream,55,2.75,pi_3,16,16,10,10,11,0.11877036839723587,0.12090631574392319,1.5684734582901,1.8270424604415894,0.017151812091469765,0.1444793939590454,-0.9368096608661157,0.05459302504599846
upstream,55,2.75,pi_4,16,16,10,10,11,0.11877036839723587,0.12090631574392319,1.5684734582901,1.8270424604415894,0.017151812091469765,0.1444793939590454,-0.9368096608661157,0.05459302504599846
upstream,55,2.75,pi_5,16,16,10,10,11,0.11877036839723587,0.12090631574392319,1.5684734582901,1.8270424604415894,0.017151812091469765,0.1444793939590454,-0.9368096608661157,0.05459302504599846
upstream,55,2.75,union,16,16,10,10,11,0.11877036839723587,0.12090631574392319,1.5684734582901,1.8270424604415894,0.017151812091469765,0.1444793939590454,-0.9368096608661157,0.05459302504599846
upstream,56,2.8000000000000003,pi_0,16,15,15,14,14,0.11860041320323944,0.12101301550865173,0.9673317670822144,1.8861333131790161,-0.042480554431676865,0.15086053311824799,-1.7696679125794064,0.2897498189392036
upstream,56,2.8000000000000003,pi_1,16,15,15,14,14,0.11860041320323944,0.12101301550865173,0.9673317670822144,1.8861333131790161,-0.3020269572734833,0.15086053311824799,-1.7696679125794064,0.2897498189392036
upstream,56,2.8000000000000003,pi_2,16,16,15,15,15,0.11860041320323944,0.12101301550865173,0.9673317670822144,1.8861333131790161,-0.3020269572734833,0.15086053311824799,-1.7696679125794064,0.2897498189392036
upstream,56,2.8000000000000003,pi_3,16,15,15,14,14,0.11860041320323944,0.12101301550865173,0.9673317670822144,1.8861333131790161,-0.3020269572734833,0.15086053311824799,-1.7696679125794064,0.2897498189392036
upstream,56,2.8000000000000003,pi_4,16,16,15,15,15,0.11860041320323944,0.12101301550865173,0.9673317670822144,1.8861333131790161,-0.3020269572734833,0.15086053311824799,-1.7696679125794064,0.2897498189392036
upstream,56,2.8000000000000003,pi_5,16,16,15,15,15,0.11860041320323944,0.12101301550865173,0.9673317670822144,1.8861333131790161,-0.3020269572734833,0.15086053311824799,-1.7696679125794064,0.2897498189392036
upstream,56,2.8000000000000003,union,16,16,15,15,15,0.11860041320323944,0.12101301550865173,0.9673317670822144,1.8861333131790161,-0.3020269572734833,0.15086053311824799,-1.7696679125794064,0.2897498189392036
upstream,57,2.85,pi_0,31,21,27,20,21,0.11762537807226181,0.11913951486349106,0.3510427474975586,1.9052808284759521,-0.04817959666252136,0.13727986812591553,-0.9708267791604532,0.1823006353671284
upstream,57,2.85,pi_1,31,30,27,26,28,0.11740417778491974,0.11902491748332977,0.3510427474975586,1.9052808284759521,-0.04817959666252136,0.13748224079608917,-0.9708267791604532,0.1823006353671284
upstream,57,2.85,pi_2,31,30,27,26,28,0.11740417778491974,0.11913951486349106,0.4271799325942993,1.9052808284759521,-0.04817959666252136,0.13748224079608917,-0.5488764304135366,0.1823006353671284
upstream,57,2.85,pi_3,31,30,27,26,28,0.11740417778491974,0.11913951486349106,0.3510427474975586,1.9052808284759521,-0.04817959666252136,0.13748224079608917,-0.9708267791604532,0.1823006353671284
upstream,57,2.85,pi_4,31,30,27,26,28,0.11740417778491974,0.11913951486349106,0.4271799325942993,1.9052808284759521,-0.04817959666252136,0.13748224079608917,-0.5488764304135366,0.1823006353671284
upstream,57,2.85,pi_5,31,30,27,26,28,0.11740417778491974,0.11913951486349106,0.4271799325942993,1.9052808284759521,-0.04817959666252136,0.13748224079608917,-0.5488764304135366,0.1823006353671284
upstream,57,2.85,union,31,31,27,27,29,0.11740417778491974,0.11913951486349106,0.3510427474975586,1.9052808284759521,-0.04817959666252136,0.13748224079608917,-0.9708267791604532,0.1823006353671284
upstream,58,2.9000000000000004,pi_0,29,18,29,18,18,0.11858993023633957,0.17178569734096527,0.5009827017784119,1.8944833278656006,0.014775804243981838,2.4603402614593506,0.1018657095299757,19.79455799941725
upstream,58,2.9000000000000004,pi_1,29,29,29,29,29,0.11858993023633957,0.17178569734096527,0.5009827017784119,1.8944833278656006,-0.020167740061879158,2.4603402614593506,0.1018657095299757,19.79455799941725
upstream,58,2.9000000000000004,pi_2,29,29,29,29,29,0.11858993023633957,0.17178569734096527,0.5009827017784119,1.8944833278656006,-0.020167740061879158,2.4603402614593506,0.1018657095299757,19.79455799941725
upstream,58,2.9000000000000004,pi_3,29,27,29,27,27,0.11858993023633957,0.17178569734096527,0.5009827017784119,1.8944833278656006,-0.020167740061879158,2.4603402614593506,0.1018657095299757,19.79455799941725
upstream,58,2.9000000000000004,pi_4,29,29,29,29,29,0.11858993023633957,0.17178569734096527,0.5009827017784119,1.8944833278656006,-0.020167740061879158,2.4603402614593506,0.1018657095299757,19.79455799941725
upstream,58,2.9000000000000004,pi_5,29,28,29,28,28,0.1186942458152771,0.17178569734096527,0.5009827017784119,1.8944833278656006,-0.020167740061879158,2.4603402614593506,0.1018657095299757,19.79455799941725
upstream,58,2.9000000000000004,union,29,29,29,29,29,0.11858993023633957,0.17178569734096527,0.5009827017784119,1.8944833278656006,-0.020167740061879158,2.4603402614593506,0.1018657095299757,19.79455799941725
upstream,59,2.95,pi_0,29,10,29,10,10,0.11892757564783096,0.3002716898918152,0.6187705993652344,2.0660245418548584,0.08585470914840698,3.461376905441284,-0.08880064145723908,41.4957753961842
upstream,59,2.95,pi_1,29,15,29,15,15,0.11892757564783096,0.3002716898918152,0.6187705993652344,2.0660245418548584,0.08585470914840698,3.461376905441284,-0.08880064145723908,41.4957753961842
upstream,59,2.95,pi_2,29,29,29,29,29,0.11892757564783096,0.3002716898918152,0.6187705993652344,2.0660245418548584,0.08585470914840698,3.461376905441284,-0.08880064145723908,41.4957753961842
upstream,59,2.95,pi_3,29,24,29,24,24,0.11892757564783096,0.3002716898918152,0.6187705993652344,2.0660245418548584,0.08585470914840698,3.461376905441284,-0.08880064145723908,41.4957753961842
upstream,59,2.95,pi_4,29,28,29,28,28,0.11892757564783096,0.3002716898918152,0.6187705993652344,2.0660245418548584,0.08585470914840698,3.461376905441284,-0.08880064145723908,41.4957753961842
upstream,59,2.95,pi_5,29,28,29,28,28,0.11892757564783096,0.3002716898918152,0.6187705993652344,2.0660245418548584,0.08585470914840698,3.461376905441284,-0.08880064145723908,41.4957753961842
upstream,59,2.95,union,29,29,29,29,29,0.11892757564783096,0.3002716898918152,0.6187705993652344,2.0660245418548584,0.08585470914840698,3.461376905441284,-0.08880064145723908,41.4957753961842
