resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,451,451
0.5,pi_1,455,455
0.5,pi_2,481,481
0.5,pi_3,421,421
0.5,pi_4,476,476
0.5,union,489,489
1.0,pi_0,449,451
1.0,pi_1,453,455
1.0,pi_2,479,481
1.0,pi_3,420,421
1.0,pi_4,474,476
1.0,union,487,489
2.0,pi_0,447,451
2.0,pi_1,452,455
2.0,pi_2,478,481
2.0,pi_3,419,421
2.0,pi_4,472,476
2.0,union,485,489
