phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,55,2.75,pi_0,16,14,10,8,9,0.1187700405716896,0.11949136853218079,1.754664659500122,1.8270241022109985,0.01716800034046173,0.09747672826051712,-0.11302943326487182,0.054537704672241796
upstream,55,2.75,pi_1,16,10,10,6,7,0.1187700405716896,0.12005111575126648,1.7251304388046265,1.8270241022109985,0.017195481806993484,0.09747672826051712,-0.6083349256007944,0.054537704672241796
upstream,55,2.75,pi_2,16,16,10,10,11,0.1187700405716896,0.12090615928173065,1.5684583187103271,1.8270241022109985,0.01716800034046173,0.14449137449264526,-0.9368761251576077,0.054537704672241796
upstream,55,2.75,pi_3,16,16,10,10,11,0.1187700405716896,0.12090615928173065,1.5684583187103271,1.8270241022109985,0.01716800034046173,0.14449137449264526,-0.9368761251576077,0.054537704672241796
upstream,55,2.75,pi_4,16,16,10,10,11,0.1187700405716896,0.12090615928173065,1.5684583187103271,1.8270241022109985,0.01716800034046173,0.14449137449264526,-0.9368761251576077,0.054537704672241796
upstream,55,2.75,pi_5,16,15,10,10,11,0.1187700405716896,0.12090615928173065,1.5684583187103271,1.8270241022109985,0.01716800034046173,0.14449137449264526,-0.9368761251576077,0.054537704672241796
upstream,55,2.75,union,16,16,10,10,11,0.1187700405716896,0.12090615928173065,1.5684583187103271,1.8270241022109985,0.01716800034046173,0.14449137449264526,-0.9368761251576077,0.054537704672241796
upstream,56,2.8000000000000003,pi_0,16,14,15,13,13,0.11860021203756332,0.12101317942142487,0.9673296809196472,1.8861205577850342,-0.0424731969833374,0.15085987746715546,-1.7697848166929988,0.28975558712063226
upstream,56,2.8000000000000003,pi_1,16,15,15,14,14,0.11860021203756332,0.12101317942142487,0.9673296809196472,1.8861205577850342,-0.3020312488079071,0.15085987746715546,-1.7697848166929988,0.28975558712063226
upstream,56,2.8000000000000003,pi_2,16,16,15,15,15,0.11860021203756332,0.12101317942142487,0.9673296809196472,1.8861205577850342,-0.3020312488079071,0.15085987746715546,-1.7697848166929988,0.28975558712063226
upstream,56,2.8000000000000003,pi_3,16,14,15,13,13,0.11860021203756332,0.12101317942142487,0.9673296809196472,1.8861205577850342,-0.3020312488079071,0.15085987746715546,-1.7697848166929988,0.28975558712063226
upstream,56,2.8000000000000003,pi_4,16,16,15,15,15,0.11860021203756332,0.12101317942142487,0.9673296809196472,1.8861205577850342,-0.3020312488079071,0.15085987746715546,-1.7697848166929988,0.28975558712063226
upstream,56,2.8000000000000003,pi_5,16,16,15,15,15,0.11860021203756332,0.12101317942142487,0.9673296809196472,1.8861205577850342,-0.3020312488079071,0.15085987746715546,-1.7697848166929988,0.28975558712063226
upstream,56,2.8000000000000003,union,16,16,15,15,15,0.11860021203756332,0.12101317942142487,0.9673296809196472,1.8861205577850342,-0.3020312488079071,0.15085987746715546,-1.7697848166929988,0.28975558712063226
upstream,57,2.85,pi_0,31,20,27,19,20,0.11762543022632599,0.11913946270942688,0.35107624530792236,1.9052585363388062,-0.04817453399300575,0.13728241622447968,-0.9708215451337419,0.18230440740852147
upstream,57,2.85,pi_1,31,30,27,26,30,0.11740385740995407,0.1190248429775238,0.35107624530792236,1.9052585363388062,-0.04817453399300575,0.1375371813774109,-0.9708215451337419,0.18230440740852147
upstream,57,2.85,pi_2,31,29,27,25,29,0.11740385740995407,0.11913946270942688,0.4270443022251129,1.9052585363388062,-0.04817453399300575,0.1375371813774109,-0.5488212394126268,0.18230440740852147
upstream,57,2.85,pi_3,31,29,27,25,29,0.11740385740995407,0.11913946270942688,0.35107624530792236,1.9052585363388062,-0.04817453399300575,0.1375371813774109,-0.9708215451337419,0.18230440740852147
upstream,57,2.85,pi_4,31,30,27,26,30,0.11740385740995407,0.11913946270942688,0.4270443022251129,1.9052585363388062,-0.04817453399300575,0.1375371813774109,-0.5488212394126268,0.18230440740852147
upstream,57,2.85,pi_5,31,30,27,26,30,0.11740385740995407,0.11913946270942688,0.4270443022251129,1.9052585363388062,-0.04817453399300575,0.1375371813774109,-0.5488212394126268,0.18230440740852147
upstream,57,2.85,union,31,31,27,27,31,0.11740385740995407,0.11913946270942688,0.35107624530792236,1.9052585363388062,-0.04817453399300575,0.1375371813774109,-0.9708215451337419,0.18230440740852147
upstream,58,2.9000000000000004,pi_0,29,17,29,17,17,0.1185898631811142,0.16682519018650055,0.5009782314300537,1.8944509029388428,0.0147758349776268,2.057769536972046,0.10190789763981013,18.254394670597733
upstream,58,2.9000000000000004,pi_1,29,29,29,29,29,0.1185898631811142,0.16682519018650055,0.5009782314300537,1.8944509029388428,-0.02017977647483349,2.057769536972046,0.10190789763981013,18.254394670597733
upstream,58,2.9000000000000004,pi_2,29,29,29,29,29,0.1185898631811142,0.16682519018650055,0.5009782314300537,1.8944509029388428,-0.02017977647483349,2.057769536972046,0.10190789763981013,18.254394670597733
upstream,58,2.9000000000000004,pi_3,29,27,29,27,27,0.1185898631811142,0.16682519018650055,0.5009782314300537,1.8944509029388428,-0.02017977647483349,2.057769536972046,0.10190789763981013,18.254394670597733
upstream,58,2.9000000000000004,pi_4,29,29,29,29,29,0.1185898631811142,0.16682519018650055,0.5009782314300537,1.8944509029388428,-0.02017977647483349,2.057769536972046,0.10190789763981013,18.254394670597733
upstream,58,2.9000000000000004,pi_5,29,28,29,28,28,0.11869511753320694,0.16682519018650055,0.5009782314300537,1.8944509029388428,-0.02017977647483349,2.057769536972046,0.10190789763981013,18.254394670597733
upstream,58,2.9000000000000004,union,29,29,29,29,29,0.1185898631811142,0.16682519018650055,0.5009782314300537,1.8944509029388428,-0.02017977647483349,2.057769536972046,0.10190789763981013,18.254394670597733
