resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,533,534
0.5,pi_1,586,586
0.5,pi_2,875,876
0.5,pi_3,803,804
0.5,pi_4,860,861
0.5,pi_5,844,845
0.5,union,891,892
1.0,pi_0,532,534
1.0,pi_1,581,586
1.0,pi_2,871,876
1.0,pi_3,799,804
1.0,pi_4,856,861
1.0,pi_5,840,845
1.0,union,887,892
2.0,pi_0,527,534
2.0,pi_1,577,584
2.0,pi_2,865,874
2.0,pi_3,793,802
2.0,pi_4,850,859
2.0,pi_5,834,843
2.0,union,881,890
