resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,761,764
0.5,pi_1,769,772
0.5,pi_2,777,780
0.5,pi_3,769,772
0.5,pi_4,778,781
0.5,union,787,790
1.0,pi_0,760,762
1.0,pi_1,766,770
1.0,pi_2,774,778
1.0,pi_3,766,770
1.0,pi_4,775,779
1.0,union,784,788
2.0,pi_0,760,762
2.0,pi_1,766,770
2.0,pi_2,774,778
2.0,pi_3,766,770
2.0,pi_4,775,779
2.0,union,784,788
