candidate_id,phase,state_sha256,snapshot_context_sha256,parent_group_id,root_cell,full_cell,trajectory_id,trajectory_step,frontwheel_tangent_mps,hip_deg,hip_rate_degps,knee_deg,knee_rate_degps,pitch_deg,rearwheel_tangent_mps,roll_deg,root_vx_mps,root_vy_mps,root_vz_mps,root_wx_degps,root_wy_degps,root_wz_degps,root_x_m,root_y_m,root_z_m,steering_deg,steering_rate_degps,yaw_deg,pi_0,pi_1,pi_2,pi_3,pi_4,union
pi1_causal_upstream_000000,upstream,8a6e3835c252515e90219701cd928c0872828ebf8d3aae2dc33bc03ec9738a9f,c3dcd7155ef0ae31649045786ea30cb3e8f14103bc3a79c83bfafaa08f79d109,dense_v1_train_x2.85_family0,65edc490dfd973e3507be2fa5014ac602ef91405b57aa1c50fb731aacbab8280,9e0d0e0d01dcf606c343700f1fde96771bf1edbd1ccc97c363d89463565e8570,dense_v1_train_x2.85_family0/variant_0,6,1.9179910278320313,-72.32081598889803,-17.671601590506835,143.02845057886577,-138.85168061837626,0.0633141417832774,-0.1157780420780182,-1.8239264819495702,1.8859254121780396,-0.15952883660793304,0.056749697774648666,-37.898715043879356,13.314313145348466,-76.99165451318959,2.7401046752929688,-0.007674672175198793,0.11849554628133774,-10.581663741453085,-45.91997992211561,-3.000406363801361,1,1,1,1,1,1
pi1_causal_upstream_000001,upstream,1315674512855710645806a4ef82378c1f3f723b095bb2f0779a5031e3e6e397,bea53bbeb72e713312ef5e1d8b54888b90ea42ca9492f51e834a981322728286,dense_v1_train_x2.85_family0,49e1c8308a6c32da3424e0e9a8731f9b47b841195575828c3f3296697037b2f7,3366b90f0d7bb22d4bd2ebbf005fff25f7f7754055aaeefa98ae6e7106177430,dense_v1_train_x2.85_family0/variant_0,7,1.7154879951477053,-70.1229362460688,154.82448780380128,138.31870729706182,-312.42520161840264,0.17230183564531237,-0.10699881076812745,-2.4935935049582203,1.6785027980804443,-0.05270262062549591,0.028888210654258728,-15.599207790656369,25.910973191961816,-1.4637142348887868,2.775460958480835,-0.010481921024620533,0.11834824830293655,5.4885342575735,204.609285871539,-4.042794402049894,1,1,1,0,1,1
pi1_causal_upstream_000002,upstream,f2ca5e29c1d1349171b03827ae75d852d91277001d49cdfb6b5dae4e7a26a44d,82d9c58dd8a0340cc011a56a77002f2bdfa2db24006822f8f2d4cffc7bfe9b5c,dense_v1_train_x2.85_family0,186210078ad9325f5868e04f54964a09d075c88c7f271f2db975e4db3c3b8ea4,fd52b86bf638ab2a420df7c068333fcaadcd0f5842f247f516a3d3cd2de2f838,dense_v1_train_x2.85_family0/variant_0,10,0.6224725914001465,-41.82136098610938,470.72931563448856,99.7019173902661,-988.2436785551369,1.0635624361837304,0.5206764364242554,-3.34227755154367,0.7907407879829407,-0.056663673371076584,0.26094433665275574,-23.021849276823318,94.68140050122656,-24.948258028448517,2.8387835025787354,-0.011659318581223488,0.1214977577328682,-14.956673112413052,81.36100165732762,-3.715221570549065,1,1,1,1,1,1
pi1_causal_upstream_000003,upstream,9a9a0b034cac82b18728087fcaf316efd7aa7b1b6bd3c5808767a9dec0431234,e03ef57a2afc0d8cedcfea5d60eaf5b048ef3a78d182e943c1995d495d64bf6f,dense_v1_train_x2.85_family0,351b2717273a995b39e911b9b4d9012ba00c1ac9a7cdbcf206709b2892728b10,bba70b7f28922f1ae45a1d6c91ad84974ebeb83ca442d00b9e36d872001fa3f2,dense_v1_train_x2.85_family0/variant_0,12,-1.2594787597656252,-39.18559440049604,-339.82617204006624,52.305076399769895,-1536.1679014721362,17.956213311663003,-0.42734172344207766,-4.1495166117713085,1.028627872467041,0.11278218030929565,2.145472526550293,-9.469792614392341,870.6193516129465,-5.796676534431333,2.8768324851989746,-0.010490836575627327,0.16559748351573944,-0.02144560671486322,4.0518769633080725,-5.4222766355802605,1,1,1,1,1,1
pi1_causal_upstream_000004,upstream,c8a1862ea96261ff91854ee9d9c74a1a57dee7c2350fb1ed4d1a91d7e7bbc887,ed8c87330ffe0a5d2eb4704770711bc82fd924c727cf1d5ac438c6e214c30a3a,dense_v1_train_x2.85_family0,2042cef07ca2f4764ec5b9fac70c07de62aed253ffe6bc123f3f03e8472dc43a,c57dcb6eb0e1fc191013ba93fd063e75473609da4fa76f5816210d28bbba46a4,dense_v1_train_x2.85_family0/variant_0,14,-0.05640450358390808,-57.30308781549424,-278.04170148747824,35.95992145174163,704.2914592090098,38.315547133184644,0.7847849845886231,-5.574252128223746,2.2305314540863037,0.12943702936172485,2.9782962799072266,3.6686303532236026,-102.1059117516788,-25.613530406438805,2.946039915084839,-0.00433518597856164,0.2874419093132019,5.156287389361046,-136.1921142386,-7.97425818136632,1,1,1,1,1,1
pi1_causal_upstream_000005,upstream,ecf4313053bb0e910e07f13f75798869ceddb130e19f122baa90f355ee7ab025,660c2cbeb43cbdd33d8ce8fb20a0c2d0fa5b60dc39a100e9c38d5fd19b75c70b,dense_v1_train_x2.85_family0,346c8c483deb688b5b84cb97895bac9ce4ac83847a77ce29de810c87cd2590a2,ed936acf5fbb269d45cdfcc086a9a65741daa7857c7b15efb5082cd137364d99,dense_v1_train_x2.85_family0/variant_0,15,0.3788673496246338,-61.98622751048099,-104.60453155385287,59.13168655065756,1247.1683908954233,31.534004909954223,1.2521254539489748,-5.486012018064381,2.5067434310913086,0.13286040723323822,3.283560037612915,2.25838347948791,-484.62536282163614,-33.552402712717196,2.994619131088257,-0.0016686520539224148,0.35116907954216003,24.362417335410893,162.46990103239006,-8.035766425185283,1,1,1,1,1,1
pi1_causal_upstream_000006,upstream,c5178f2a597e5d39ce58d819e3b1c47b26b9271e47f0f2b2dd7d967cd2b20433,dce2c0ed436fde866ddafc1e182087ffbf4a970724d2b236d825fa066c714d8f,dense_v1_train_x2.85_family0,e34f7feb99c96204a249b1bd5e935639220263e69f8b4eab201200509f8f4689,8a96be7d4c20cb60b20a473873e680fb76baae7a26311dc413b2403b8e254a7f,dense_v1_train_x2.85_family0/variant_0,16,0.016331108510494234,-63.71879378591393,-84.91327376162452,74.1653017440708,449.3646751559854,25.773770620497558,0.8561580467224121,-5.5340740702925295,2.175002098083496,0.12246812134981155,2.680009126663208,-4.873271244025575,-160.53344678004308,-23.770163094742625,3.0406582355499268,0.000903710606507957,0.41037580370903015,33.11278783207308,-110.38794642223698,-8.078431521991305,1,1,1,1,1,1
pi1_causal_upstream_000007,upstream,566e5922747e82d7db5ccf936dd3e3d9761ae7f78a3f3d2516a4f31cae80c0b0,f41b39d26da73611e8d42f5946c7341ed1780211d9d70c6e263f40293cd83a74,dense_v1_train_x2.85_family0,3107a69640edd74e3e2e972325f6229acf9928be5c4ddc880fde5f0b80d48168,a92523f0e1d574d90462b22bccf461097b50c7cf630461640c93fed0b0825496,dense_v1_train_x2.85_family0/variant_0,17,-0.1419941544532776,-65.46093598656324,-67.71496671455914,77.59346248095942,36.7071509771302,24.918936708556718,0.6600212478637696,-5.8116511498787125,1.982344388961792,0.10452789813280106,2.055701732635498,-5.939730577729018,-0.01131938019403989,-20.119123039952743,3.081446886062622,0.00315657677128911,0.4566318690776825,35.42063362053952,-56.215994907195004,-8.471822469326852,1,1,1,1,1,1
pi1_causal_upstream_000008,upstream,e44d6506f2fb9710e65fc0041ee162ecf07fe32be5e4c42c2c2d53771af467d4,0fcc604bc1c02c501043c545a97e3771628877e8946034030c68f1d5ca9942fc,dense_v1_train_x2.85_family0,ea47ddd666afbd283d92e1ca59a00d4583b096463a398b70b36ff819b3fa3d65,d9efdef89931b76bc1b415fadc30edb721b7c68ca0463559380ddd0069887553,dense_v1_train_x2.85_family0/variant_0,19,-0.032833167612552644,-62.84030851524523,222.45352390841248,66.67419614921094,-248.3201059934111,25.985445672592974,0.7899771595001222,-6.4253123646801225,1.8843380212783813,0.06380517780780792,1.078253984451294,-2.4689987658476,-106.38469058742247,-21.958279540025615,3.1555721759796143,0.006304202601313591,0.5129104256629944,34.955043530481845,8.170818700302855,-9.455007747155795,1,1,1,1,1,1
pi1_causal_upstream_000009,upstream,8bc9e04639aea914eca3bb334617bc1d363a4e1d7326f6aef9284a4820dd40f2,a55a93f09953df036e51f29e09174f92d36d604fd793ceccac6d7635a1ee3d45,dense_v1_train_x2.85_family0,e30de395625ca53269350d957d2802292b98a5ed54c165960b01d0427b61d61e,cd18595c6753de36d9492fb398e70382a2aa9bb1ba03119666acb465545f3ec0,dense_v1_train_x2.85_family0/variant_0,20,-0.03323067337274552,-56.42585929963282,313.2316283933277,58.326817058863256,-421.5820884050148,23.6985377053099,0.789297103881836,-6.551735781340261,1.8233577013015747,0.05437695235013962,0.7011319398880005,-1.6096046209610264,-105.83150673635396,-22.730138727561243,3.191986083984375,0.007292109075933695,0.5280380845069885,33.61547609460768,27.816278366598965,-9.651879459417447,1,1,1,1,1,1
