source,batch_size,status,wall_seconds,initialization_seconds,compile_seconds,execution_seconds,peak_device_memory_mib,charged_interactions,useful_interactions,simulated_steps_per_second,useful_steps_per_second,substep_capacity_exceeded
capacity4096,4096,completed,18.218199120999998,10.54318636500011,2.890294706000077,0.7697318589998758,4436,159744,74969,207532.01018281584,97396.25445334736,
capacity4096,8192,completed,19.07096189699996,10.572194709000087,3.2484305140001197,1.1411649940000643,7860,319488,149933,279966.5269087127,131385.9089512095,
capacity4096,16384,completed,19.60693486700029,10.681414680999751,2.824462121000124,1.9062503840000318,14543,638976,299922,335200.45706649905,157336.0994533418,
capacity16384_checked,16384,completed,19.494700688000194,10.592580488999829,2.9066357760002575,1.9076490850002301,14522,638976,299934,334954.68586137943,157227.03004361194,False
capacity24576_checked,24576,memory_limit,17.47413052999991,,,,22542,1572864,,,,
