key,proposer,phase,trajectory_id,source,state_sha256,snapshot_context_sha256,root_cell,witnessed,frontwheel_tangent_mps,hip_deg,hip_rate_degps,knee_deg,knee_rate_degps,pitch_deg,rearwheel_tangent_mps,roll_deg,root_vx_mps,root_vy_mps,root_vz_mps,root_wx_degps,root_wy_degps,root_wz_degps,root_x_m,root_y_m,root_z_m,steering_deg,steering_rate_degps,yaw_deg,evaluator_pi_0,evaluator_pi_1,evaluator_pi_2,evaluator_pi_3,evaluator_pi_4,evaluator_pi_5
4e9c27f28863bdc5f5aab2dab3309e68b509671ea47092f859a3be467c1b45a2,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,0b857f72e00c2a7f1cf42a9542a4a499d62d00ef9380f288e224cf7c80ee2d1b,9667c752b66226ef4126624c0c64d090daf8df1620e2fedc93036d6780867589,3bf26f3a8bad669e1f7d849161f206b5c0c6e07e9627c5e8be214823bf819d09,True,0.25388067722320556,-19.403816111197525,305.2760152933936,18.299485512980475,-310.2262905170087,17.592610933332914,-0.6800735759735108,-2.400086895600548,1.6411752700805664,0.06029599905014038,0.3178217113018036,0.22632456136816073,-128.32743827727546,-16.361649854873846,3.2483038902282715,0.009712131693959236,0.43905726075172424,31.080632384170453,-45.53902270606356,-5.600660431494482,0,0,1,1,1,1
6c9b426331681229f1eb2aacee897074c2f66abad6f918c4e4a5704705c554dc,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,074706f3ccf7ce30f8c926840621f05fbc5fba952c15b2b1c140ab2306bd351c,11f8ff765015cf5a382121e2757b3b59cd68e8f023b6afa3826f9be4216701e1,0cfe6d605939b3233c5b19fb0a7a6a658475aa9398ee1d606d15e663b5063b49,True,0.2554796624183655,-12.434874209516902,219.36952957361166,13.698597517299955,-76.08046629677487,13.647538332903313,-0.6489659214019776,-2.4731819348137187,1.7608331441879272,0.055483315140008926,0.2531639039516449,-1.0900989385859756,-153.73091987616888,-19.89869063732163,3.2823357582092285,0.010834191925823689,0.44337573647499084,34.47800604337523,-79.09723107957527,-5.866399166775079,0,0,1,0,1,1
7cff0fb57bdf4df8929418dd40292b2dd2b35f01ee1f0f463e928f68247a8d2d,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,c61bb1d39eda9823728a89e977a04eb6a58d75753de8c90e20eefc96976805be,3a79e863725a1cf7fe0ccf9906ff0155b10ebaed24f538e8d3878c3d14f9d70e,966e4bac6abf4b3c0b4c1aeab74af2303bcd46a6595c42f1182c501dadfaed07,True,0.2217018532752991,-5.629303602593817,207.30595383888675,16.14461547135481,-118.65773456361332,6.827442590462494,-0.6817299556732178,-2.666916537932308,1.760992407798767,0.05804155394434929,-0.03830815479159355,-3.7851034347057144,-126.97533402917975,-22.432325404275762,3.3557140827178955,0.012838720344007015,0.44858527183532715,27.374899589601696,149.64124848797536,-6.426355554179574,0,0,1,0,1,1
10ff85d1d3844b14df31ef082b0941530b4c25b7e7fcba72531b6fa430a6b387,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,2db16126f912a704de975c6a857ea807fa8f123e5170779ff3515007d918085a,2c8a3179bf11c41169d5005410d811b61eafd102ca9f60e87d0b138796758383,aa4a50ca0b36f78f4eac9d60a6b64af5d419467676e605dfc0a6965d400ae3bb,True,0.12747175097465516,-5.792713317165433,-89.24701512961929,19.02859113140641,236.8789107562361,5.620177672036069,-0.7992090797424317,-2.7871515702000025,1.884763240814209,0.05563153326511383,0.05136024206876755,-3.8293105534481526,-30.832105705935785,-19.401744856331717,3.3927865028381348,0.013961166143417358,0.44967982172966003,32.40586666807135,-66.39441794042888,-6.819471780347031,0,0,1,0,1,1
8ede6a1ab56684faafd4510d6b482cace3ae82a36523a239b8d066ef307601e1,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,bbe973407be3ceaa10e5bb0ed94a6170cb6aae9256cfba4a3d395a0fb847cfe8,4ff6f6eb445ab16b8518de9244d641ca9c014368168cb6c1c63a2759ab25d755,41188713e32e56187b193beab178d743fea10492db17ff4cf6b916042a9cc5d1,True,0.18408835887908936,-10.186264944174692,-133.43172060629604,28.47075392305876,411.8808155570089,5.179340650212018,-0.7561588287353517,-2.9083456903678924,1.9908323287963867,0.049041587859392166,0.036240946501493454,-3.672065938376119,-66.07180761536166,-19.27928810224985,3.4326162338256836,0.014980392530560493,0.45228663086891174,38.8194860156996,-136.5488686793281,-7.251985219554011,0,0,1,1,1,1
b0b7b4140ad547025508f8583e6951abdc6e5c00de38291696dd91d4f57e0705,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,8631a760d5e22ccf73053d26d32d12572c4b7d265f76c01f309236ed056a0d86,5c6f469ea2f7a0775bd7f5fb89c66247bfae8853ddc9dcbeeddf68ed3caa5b09,e0e7983c0aaeb0bbd263c75b41a67fdaaf3249127c1d2ba88f9449ca5c0da441,True,0.13820014238357545,-19.81809099002089,-447.8108344405642,50.88580407137626,852.6057931865485,3.520179376059395,-0.8462624263763429,-3.110146380790691,2.218510866165161,0.05323261395096779,0.4123058617115021,-3.9844894631830803,7.628455576426943,-15.64925087915776,3.515596628189087,0.016960693523287773,0.45672932267189026,37.11195579866934,-47.49083463875933,-7.902979414709344,0,0,1,0,1,1
3e8466fa300ce73b980355a46b4e2e4183559345c3a3d8d326ae6635f42b1a3c,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,0a889dde69733dc1d7b20b25c5ce5465df5f0a52782f90fdab23311d979628b1,4248450966b13ba7ad3744150221b6b191ce57e30a223ab4486a985b5e2c5b56,307b792778251aa02519df6bcb8e118fba4aa88ebc0b240967117f848de9e97e,True,-0.057841832041740426,-32.82639116998528,-643.9946038576505,67.5531936840674,720.1042760433164,6.928721499222314,-1.0900255489349366,-3.20773613258864,2.1087520122528076,0.08246030658483505,0.48469826579093933,-2.759686067394642,207.119353070762,-8.309187233829912,3.5589401721954346,0.018420957028865814,0.467853844165802,35.89506197538319,6.137632320722377,-8.29495205757158,0,0,1,1,0,1
328d6773e2e51c0a28f15b763d5544e063495558941f7f1e470de9c31756a57b,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,9f3a1d77d97912f2f244f59f4e574c3da93a09e7711dc2084c0803e3557bbe89,975814149562e68f555f7d1ccdd01f7e101579ab1ced9b6b71459b002b3b1396,b16f58c3f5bfdf5050a706986f0b1fdf93e5d926af8034aa6c08fd518f1a930e,True,0.1527707028388977,-43.90698656992945,-474.2622173222993,84.98340614402223,868.7173351743947,8.357872409920965,-0.8467978191375733,-3.3039806135481253,2.275261878967285,0.07565555721521378,0.6383661031723022,-3.3051870228639384,8.030779331750082,-10.99388273333628,3.6039276123046875,0.01993536204099655,0.48083916306495667,30.058077933338673,96.31087190132733,-8.559862341142244,0,0,0,1,1,1
8c32a611005e624496139fb4d75fff63921dcd85a5a6bb68475edb350ce4ca2b,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,13a7ee36a3be22b5393d7d46e2b4e562434d1585b4bd95917627e48ba26d8ad6,5a9016e1e10517b3abfaf158923c1959acce63335cb8055fff578458a36c3c3d,e6023ea754f25f4dc4a4e569dd4ef782705b415a2613d3a07dd4fda42210ec6f,True,0.20838909864425662,-51.73505954749189,-355.4993251662245,101.68450957045653,761.6870141254876,7.432281792306582,-0.7803075122833253,-3.4016685701402025,2.244927406311035,0.07694732397794724,0.4221338629722595,-4.197088919496659,-46.3933564278271,-9.471065590898903,3.649618148803711,0.02141277678310871,0.49192214012145996,31.104927367048187,-0.09365657442552637,-8.72030191349298,0,0,0,1,1,1
106ac2682c0c2cec576506e257ddd846aff8427b2d057d56beb8361d3ab2099a,pi_5,upstream,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.88_family0/variant_0,/home/qy/DVGC/JIT/runs/campaign/all_proposers_v1/round_000/discovery,df983965eb9daadcf33eebee330244579afab125d6fed730f5160d9214e06089,278cb8ef9b1affeebc88e3330b163881c609f512baa1017ff84a7ded878edd6c,f00d891bd6680f193da77e4e9a39733e2863a609e8fdca530eca42f8647102e5,True,0.1922724747657776,-57.5193179442385,-277.2204941831893,114.93320508844869,568.835912570504,6.210760019418541,-0.7935406589508057,-3.5070489696935776,2.1369125843048096,0.07689099758863449,-0.03958885371685028,-4.948072487607792,-35.58656623623581,-7.854790116274595,3.6936445236206055,0.02289983071386814,0.49547693133354187,32.51010218499491,-24.805478046491277,-8.830480483934313,0,0,0,1,1,1
