proposer,phase,x_left_m,x_right_m,count,frontwheel_tangent_mps_min,frontwheel_tangent_mps_max,hip_deg_min,hip_deg_max,hip_rate_degps_min,hip_rate_degps_max,knee_deg_min,knee_deg_max,knee_rate_degps_min,knee_rate_degps_max,pitch_deg_min,pitch_deg_max,rearwheel_tangent_mps_min,rearwheel_tangent_mps_max,roll_deg_min,roll_deg_max,root_vx_mps_min,root_vx_mps_max,root_vy_mps_min,root_vy_mps_max,root_vz_mps_min,root_vz_mps_max,root_wx_degps_min,root_wx_degps_max,root_wy_degps_min,root_wy_degps_max,root_wz_degps_min,root_wz_degps_max,root_x_m_min,root_x_m_max,root_y_m_min,root_y_m_max,root_z_m_min,root_z_m_max,steering_deg_min,steering_deg_max,steering_rate_degps_min,steering_rate_degps_max,yaw_deg_min,yaw_deg_max
pi_0,downstream,3.3000000000000003,3.35,3,-0.12687327265739443,-0.029689758718013767,-28.08683582000151,-16.48300182585746,-19.461771973852375,68.34731245810809,40.348577540663285,56.300334083066325,129.78960419365677,180.0766807125789,12.556939199977814,17.861807785011873,1.3147925758361818,1.516123085021973,-9.331507327144633,-5.7448945271495,1.7350664138793945,1.7737289667129517,0.04077517241239548,0.09782502800226212,-0.13989996910095215,-0.06766895204782486,-20.007340163996314,-12.387388173086036,-103.78790730649698,-45.39221120494872,-4.5125958478270585,31.999227940740052,3.3293251991271973,3.331712007522583,-0.0027168358210474253,0.010177042335271835,0.5075660347938538,0.5139795541763306,31.290694852094195,34.132876584614486,1.9495891330077528,22.00684560011899,-2.704064188782267,5.498957100436019
pi_0,downstream,3.35,3.4000000000000004,3,-0.3037047147750855,-0.0008253576885908843,-29.61403025992322,-27.03384263113357,-60.045149220065895,-35.76239921113403,48.07681022803307,57.1424281058372,217.38870641241624,455.5945453394674,16.081100980586523,17.68437163983121,1.2702747344970704,1.4361597061157227,-6.15887590751417,-3.5304809590781554,1.8157148361206055,2.013551950454712,0.08280983567237854,0.13993288576602936,-0.13301140069961548,-0.03786551579833031,-16.800467310932362,-11.17472479821706,-148.05143999638486,-34.40336573612533,28.902966586189873,41.40516682412924,3.3575427532196045,3.397108316421509,0.0008851556340232491,0.021310100331902504,0.5100735425949097,0.5298030972480774,29.251111573469178,31.931670539659457,9.616108926792354,51.63318044583199,7.396282318661642,10.924305703934701
pi_0,downstream,3.4000000000000004,3.45,11,-0.3206665515899659,0.19731489658355714,-47.38815982006112,-23.767226113399516,-293.3976059870677,-23.447878911208278,54.6564100026818,84.58944766288505,210.83641031897463,665.1189582811527,12.836761730753986,24.96165625638234,-0.6577800750732422,1.678963794708252,-10.680850881348418,-2.186012631020884,1.7702703475952148,2.1424431800842285,0.08032853901386261,0.22502100467681885,-0.2205464392900467,-0.014964412897825241,-24.682351933870752,-14.201701567600278,-229.838433722057,106.17276347785531,-4.564432714759223,38.51697010717057,3.401536464691162,3.4478659629821777,0.0009303647675551474,0.030383244156837463,0.5103403329849243,0.5217965841293335,17.54976809118673,33.25916903127021,-15.109532746037937,138.29357220091617,-2.89321773323181,13.202443254928982
pi_0,downstream,3.45,3.5,7,-0.48421865940094,-0.05073435127735138,-55.9360664342512,-37.00615958352043,-359.87706661285245,-243.5864570495121,75.7934480874726,97.39322465834258,99.7196144104056,498.1313788864194,14.772730408789073,23.132244242918794,-0.8141775131225587,1.4482077789306642,-11.285819773521506,-0.7097579219781801,1.6312928199768066,2.0490782260894775,0.08467281609773636,0.19064961373806,-0.7048616409301758,-0.0072973063215613365,-27.238676589247667,-13.685461355978727,74.62993219255009,200.53114384266445,-0.05984259569136094,36.70657724123991,3.4550845623016357,3.4973320960998535,0.007420104928314686,0.04659426584839821,0.507731020450592,0.535348653793335,12.539365858534342,32.128584893430926,15.827262684401218,46.009687626674555,-3.27155622859975,17.448400417526084
pi_0,downstream,3.5,3.5500000000000003,5,-0.17827973127365113,0.21753987550735476,-59.97535834712671,-54.02865073116052,-257.2326012753073,-59.963132308512385,89.24885245050602,112.08830152554414,448.3610198385871,595.9223664412668,18.557666433738532,22.511988094217905,-0.3597658777236939,1.4986583328247072,-8.016042299561517,-0.6963785280914325,2.0148093700408936,2.1501193046569824,0.1737286001443863,0.27395981550216675,-0.30186229944229126,-0.13838911056518555,-28.768271840662635,-15.154774211552809,-163.51851265490544,19.75688054222653,14.68917387621138,31.258333415806675,3.5281012058258057,3.5381085872650146,0.015454594045877457,0.05153447389602661,0.5064796805381775,0.5218251943588257,7.697235581368972,28.42222713655311,-5.567584732593112,84.88337119343821,7.0414280382174015,18.227660506130537
pi_0,downstream,3.5500000000000003,3.6,12,-0.3897005081176758,0.08966365933418274,-65.59362607156908,-52.57089711698304,-294.2990816744827,-40.198190435517944,102.9184378855327,124.68372360037043,175.53457759376374,611.114510325316,9.047315437391758,21.428918244078943,-0.7681972885131837,2.4247721862792972,-9.864930015361427,-0.74705609880576,1.7077445983886719,2.225992202758789,0.10546599328517914,0.2584645450115204,-0.9896852970123291,-0.09172339737415314,-49.19191032702393,-15.75194960351807,-119.92168839028086,137.81416122307297,6.682520480157075,30.8656521800443,3.5573623180389404,3.598970413208008,0.02931836061179638,0.05616433918476105,0.4616988003253937,0.6182395219802856,3.964445846176855,38.997852990779904,-29.06231489952627,66.93898209276483,5.213320858851416,18.922867106724546
pi_0,downstream,3.6,3.6500000000000004,17,-0.451909408569336,0.41815095901489263,-67.8558052152448,-58.849183096396665,-198.89374259293731,-66.29552363143627,109.54738919202936,131.308733887716,212.96693756639837,616.0489668308135,3.6141681069409834,20.218421465609378,-0.8342959308624268,2.397607879638672,-13.625614451936505,-2.531596851011085,1.8585408926010132,2.1764731407165527,0.08580461144447327,0.24521876871585846,-1.151065468788147,-0.058056432753801346,-56.70987905588946,-20.736700206968834,-201.738612004896,13.77470119257953,-12.498961020725487,25.42957804416473,3.6025402545928955,3.6484060287475586,0.023117490112781525,0.05599203333258629,0.4447070062160492,0.6414206624031067,2.11144754086413,37.91087278060198,-52.607626459244784,126.67309815840667,-5.012037521437639,17.161154704002545
pi_0,downstream,3.6500000000000004,3.7,22,-0.48443475246429446,0.2726269173622132,-69.05156643323895,-61.8101588940564,-158.37073568125024,-35.87211595486653,118.08510516397779,137.8175080157663,58.16996176457391,440.1976050633445,1.4092292123241499,19.710489601189614,-0.8546817111968995,1.931617240905762,-12.470589304924056,-0.9798478318890472,1.749000906944275,2.061145067214966,-0.02088162675499916,0.18998773396015167,-1.7137072086334229,-0.27823606133461,-62.76271073608472,-18.787992595250834,-138.30178208829852,36.84603262861865,-10.264424506394441,29.32250754086332,3.6500802040100098,3.697995185852051,0.008916139602661133,0.06809665262699127,0.43661338090896606,0.6489641666412354,-8.10117894529905,37.02063616946627,-35.98122822685749,97.37706443076632,-4.766263317768681,20.87894655191896
pi_0,downstream,3.7,3.75,24,-0.512221736907959,0.46769024372100837,-71.20784349383362,-64.21931687848164,-109.72300701596873,-0.2578723513708034,116.23982027667212,140.41104012664684,-62.725479374918976,404.3355055808958,-21.910868964926326,19.828044366258315,-0.8893306350708009,2.3719084930419925,-17.56523829253688,-1.3617274560928792,1.7005451917648315,2.015146255493164,-0.055254243314266205,0.15619561076164246,-2.0703608989715576,-0.15553487837314606,-77.76793966330739,-20.913743832897442,-220.02811007376263,42.81205260446305,-16.816893915886244,29.72931360782928,3.7010209560394287,3.7487988471984863,0.008376614190638065,0.07103916257619858,0.35074135661125183,0.6250040531158447,-12.18104815825995,38.49738112463098,-11.167283307116332,78.55758466344173,-3.338345426674246,21.51873803058977
pi_0,downstream,3.75,3.8000000000000003,15,-0.5186445474624635,0.20757304191589357,-71.59840054076412,-64.96710647938214,-91.47431249720375,28.120187633718682,110.24571456296063,141.2215923358306,-545.1308394710043,184.60125756598381,-21.904886555891427,20.903309051185943,-0.8644602394104005,2.338802528381348,-19.169167219345283,-7.7330905199605455,1.6789637804031372,2.281468152999878,-0.2090999335050583,0.07834962010383606,-2.431989908218384,-1.5782958269119263,-82.74202492636918,-32.909326741982156,-33.693756892685194,123.0764708056397,-15.051097062593893,22.88851032384633,3.7510242462158203,3.7986669540405273,0.025027435272932053,0.06518541276454926,0.3289180397987366,0.5772568583488464,-9.221457181454433,38.48945810519376,-8.425123718575353,80.41267770239554,-6.061002460446582,19.21573460506179
