resolution_scale,policy,root_cell_count,full_cell_count
0.5,pi_0,568,570
0.5,pi_1,564,566
0.5,pi_2,587,589
0.5,pi_3,541,542
0.5,pi_4,595,597
0.5,pi_5,585,587
0.5,union,601,603
1.0,pi_0,567,569
1.0,pi_1,563,565
1.0,pi_2,586,588
1.0,pi_3,539,541
1.0,pi_4,594,596
1.0,pi_5,584,586
1.0,union,600,602
2.0,pi_0,555,569
2.0,pi_1,551,565
2.0,pi_2,574,588
2.0,pi_3,530,541
2.0,pi_4,582,596
2.0,pi_5,572,586
2.0,union,588,602
