candidate_id,phase,state_sha256,snapshot_context_sha256,parent_group_id,root_cell,full_cell,trajectory_id,trajectory_step,frontwheel_tangent_mps,hip_deg,hip_rate_degps,knee_deg,knee_rate_degps,pitch_deg,rearwheel_tangent_mps,roll_deg,root_vx_mps,root_vy_mps,root_vz_mps,root_wx_degps,root_wy_degps,root_wz_degps,root_x_m,root_y_m,root_z_m,steering_deg,steering_rate_degps,yaw_deg,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,union
pi0_causal_upstream_000000,upstream,c5320fc2012b263ab477b4356c4bc68995cbe53d5a44c314a8528bac2e0fdcee,e7fa97272f6f7e9b8ea20234984d4db4761dc0f0c6f9050328bf362b5092a88e,dense_v1_train_x2.88_family0,f4c84c0e49bc2a7bfa82e4b9292d2b9acda8304c6aa2cb0e4d1d3ab8bb02dab2,70f5c00a7ae3293f0dc8c8ee065bcb53f4b5a0ae302ae7b28858485f75a2df36,dense_v1_train_x2.88_family0/variant_0,8,2.1717411613464357,-61.77248357059461,300.5249903482461,136.80123050878174,-378.7011772484343,0.591226322462935,0.8961340618133545,-2.3048014856589627,1.8638012409210205,0.21727809309959412,-0.3953997790813446,36.65433995446766,-139.47665658781077,-9.592880307198786,2.7895309925079346,-0.005349702201783657,0.12026948481798172,12.88933023745381,5.995555421362825,-6.1686276875984465,1,1,1,1,1,1,1
pi0_causal_upstream_000001,upstream,ac978f5719b45527466a9f3c290adbba5ba8e713b3683faf58d4ad3afbbc5981,47a6b642c1b60250ae07eef19b53eb062aa269922ebb974bdea0d68a6ea511af,dense_v1_train_x2.88_family0,fe0344e28c8aea930ad8715f7671507c21b632b431fabee5fa68d9df473f31ec,6c305eab968202ea904d85f21d06ae93745ad4957098d86de589814dd6ddf6c8,dense_v1_train_x2.88_family0/variant_0,10,0.6914955997467042,-44.291847239092164,533.4972787860451,114.54138445652173,-816.9653196822883,-0.20553878050182223,-0.5961006927490234,-2.6068488290952763,0.3512807786464691,0.04996239021420479,0.07928917557001114,-17.705537385398042,69.7282332743121,23.37114515097777,2.8285956382751465,-0.0024075317196547985,0.11920846998691559,4.452166176032193,117.85957231758397,-5.182689259333147,1,1,1,1,1,1,1
pi0_causal_upstream_000002,upstream,7b2fa9c6db13632a8094bc7c6b3e25beb8f00c71539565a109c9115fd00e667c,efd85608fa524c64768d538752c8b7b39634b985072d7413d976973f1ce62b1b,dense_v1_train_x2.88_family0,959c62fc5fe8016b480ecb22103c4f4fdb4603bad04e143cae0985a590ec37ac,221af31daabe5d2dab76429cf19442b56f6bf13f22ef509e2b549f2981f7f26b,dense_v1_train_x2.88_family0/variant_0,14,0.0187802529335022,-50.311808633906736,-193.814499737414,64.3521162465142,432.8943843121734,27.329509338302696,0.7830743980407716,-3.7877170437638146,1.8497318029403687,0.1311715692281723,2.9240214824676514,-21.27785438736165,-16.81737032158085,40.10533401375162,2.90097975730896,0.0032264525070786476,0.24716484546661377,4.723737485639663,181.16787173438013,-4.1511676807953375,1,1,1,0,1,1,1
pi0_causal_upstream_000003,upstream,81620bcc5e4f116f2cfeb7f7ff1eb2b675d63731170319808118c419316a7d5e,70de031b5fad5f972999072fbe73de17021c5d7bbac9395d5de3781837558b4a,dense_v1_train_x2.88_family0,bd74f66853bb54fae5a49ae6390e056ea9396c32e1883c3b4b7f2c2973acea83,16ed3774813a58b85248a1417f6d202bc3bff662e5f15b47d9897c01e3b5de71,dense_v1_train_x2.88_family0/variant_0,15,0.2621258091926575,-55.91500213085089,-198.9746939949803,80.39388785198884,991.411247084622,25.355328686303256,1.0592166328430177,-3.8067268686710594,2.2668111324310303,0.1646699160337448,3.4943552017211914,-19.826304292497834,-242.82666680623987,28.71703859169837,2.9430251121520996,0.006296706851571798,0.3139354884624481,25.644744370945766,228.23719149379588,-3.310318147869055,1,1,1,1,1,1,1
pi0_causal_upstream_000004,upstream,5a50683b9606ec1359e15441506eee4d8857967e14204b3d06bc93a0eaedbcd8,1191d344f95e553a38a917b424159e0cccc410da46f4691ab808f291124d51b5,dense_v1_train_x2.88_family0,b2084eaf07b54fdb0991ed4445ce2679dc721ab6d9589af45881476c71397004,71470c3d98c83c861d86bfe6caf169378cf1659a15a81d6afbcc96e385970270,dense_v1_train_x2.88_family0/variant_0,16,0.03289610713720322,-59.38479970091989,-133.05066435250103,92.95825988684824,334.3678400252289,23.16551005447382,0.7908065509796144,-3.877897553461571,1.8205162286758423,0.13831642270088196,2.56577467918396,-19.91258836473531,-23.13786345497057,31.55092505947168,2.983466386795044,0.009360537864267826,0.3745925724506378,35.612469728663086,-116.00827686380869,-2.5237874102240325,1,1,1,0,1,1,1
pi0_causal_upstream_000005,upstream,0f1df11d901c48f833c1f4bc441a8f73b67d74fac1d4b29ee6733378748063b7,ea34e62e5cbf07c785845266db09612b81a81f67169fc38548d80a6982f69c26,dense_v1_train_x2.88_family0,432b733dd78838f43dbf6324fd49f8b34551db14d27db7e92ea3d024266a4b7f,3ec99dd49d10c3cedb1d1636ef704a7dd8dc1c08e43c7d043738134c69883614,dense_v1_train_x2.88_family0/variant_0,18,-0.16845262050628665,-58.92361166778229,199.82950582998572,82.22572409681874,-783.0586213969442,27.80072115868797,0.5422752952575685,-4.195861931049997,1.0311883687973022,0.03885818272829056,0.5178003907203674,-21.10291787479199,180.28363544443027,40.55500976304317,3.038538694381714,0.012843693606555462,0.43274354934692383,36.07195362960277,-28.93382538085999,-1.3485434196673103,1,1,1,0,1,1,1
pi0_causal_upstream_000006,upstream,ca4e0a75cfcaa7cfc87881ba1c91b5263f4b83f84156fafb16c597c7449fdd97,704644968dbffa70381a553d3b20b603e0b19504678dabd99f841ae6c27fd52d,dense_v1_train_x2.88_family0,025ffc966ab7244b6173120d7a46e59afdd272d2c1e06fc8b48a770fa0b4d913,43842ce18e66b8446d8258f5b3665f0bdb5915ab4362b77605f2f148ac05030f,dense_v1_train_x2.88_family0/variant_0,20,-0.01497214883565903,-40.45148800088787,345.0318143763698,57.09451432880956,-692.1216467119345,24.171614651663674,0.7412068176269532,-3.973932635188982,1.157812237739563,0.04787469282746315,0.41759249567985535,-16.520405649299743,17.463292773652494,51.03374938389333,3.0853710174560547,0.014432222582399845,0.44850417971611023,30.801769420737173,64.22610608651664,0.8372221661402373,1,1,1,1,1,1,1
pi0_causal_upstream_000007,upstream,30557fc8cb16ba30d0999f9ffd59fb3446977557c5d00ff8086d96c3e5b3204d,516428470229491c137f40a0bc2550fd54d520ef48454a2a6b793564d89fb7c5,dense_v1_train_x2.88_family0,356ffd70475eda8547a3070635767743102349e1b9f6bbe1b6d2d0f996dda925,35bad84da986dde09c89f60a19815aa444cba685cb2d621181646caf8627c977,dense_v1_train_x2.88_family0/variant_0,22,0.027172878682613377,-27.28479061142901,345.59754528494364,32.77564969464125,-600.8553476259035,24.059940386957656,0.7941347980499268,-3.5893267061753615,1.2968802452087402,0.06108887493610382,0.40518277883529663,-16.09146293923377,-25.83341127129444,63.549008943525756,3.135232925415039,0.016749657690525055,0.46661919355392456,30.22604253031304,-0.9912529745260799,3.370873173518483,1,1,1,1,1,1,1
pi0_causal_upstream_000008,upstream,691cac33511d6b5938125564eb269de2938a3fec7df11aff4fd97ffe418a0286,b411eb2d724054b5a409594bf2be2d24a809a35ea0fe2f536daf2fd3219c274d,dense_v1_train_x2.88_family0,192d6210f34e1f1b63ed1c9435229e06dd5809deddf3780bfce010f41b94586e,4b13f9a8fc16edad8aff1da95e316645675317bfc77d39edd3e77d46586b7f18,dense_v1_train_x2.88_family0/variant_0,24,0.17443738698959352,-22.114308381425385,193.59813300488634,32.40999551742462,42.77086997886246,20.535917121869442,0.9643619918823243,-3.0472844324062573,1.6751917600631714,0.12040700763463974,0.3597215414047241,-11.072051687066136,-165.20409405903789,57.98800552508477,3.199943780899048,0.02117261290550232,0.4888298809528351,29.642112582695727,14.59582226573023,6.208498011966491,1,1,1,1,1,1,1
pi0_causal_upstream_000009,upstream,271e4371af88dde84d28882c4cc0f65b025b44a610dc1600bfd1f3e2a256439e,863315064c7f6e6b9ec60da01d78127284e2ca5f81d4ed3409cc7ec04ec14f47,dense_v1_train_x2.88_family0,8e4384073fe1c6a3b0ba6d80c82b4e7661aac695cc08581d22c00ecb3644bf73,60a7a176a08395d7c024637c59e2919a1ebe87ac6e37d82ec44fdb99e39e6cf4,dense_v1_train_x2.88_family0/variant_0,25,0.12189281821250916,-21.893853780679468,98.04413485605562,36.16568090048827,107.39359149010339,19.075453919597646,0.9019023513793946,-2.7964224019527326,1.7173563241958618,0.1366695761680603,0.29728442430496216,-9.3368071237049,-114.0801349516816,57.76504766000805,3.2347633838653564,0.02399100363254547,0.4980863332748413,30.082219236960086,7.582811129751041,7.546119347551972,1,1,1,1,1,1,1
