phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,56,2.8000000000000003,pi_0,16,13,9,6,6,0.1202164962887764,0.12663714587688446,1.8129026889801025,1.8854310512542725,-0.4008880853652954,-0.03750099986791611,0.5773223468075521,2.828447572708515
upstream,56,2.8000000000000003,pi_1,16,11,9,6,6,0.11486257612705231,0.12663714587688446,1.3185230493545532,1.8854310512542725,-0.4008880853652954,-0.03750099986791611,-1.0160290389761095,2.828447572708515
upstream,56,2.8000000000000003,pi_2,16,13,9,8,8,0.11486257612705231,0.12663714587688446,1.3185230493545532,1.8854310512542725,-0.4008880853652954,-0.03750099986791611,-1.0160290389761095,2.828447572708515
upstream,56,2.8000000000000003,pi_3,16,16,9,9,9,0.11486257612705231,0.12663714587688446,1.3185230493545532,1.8854310512542725,-0.4008880853652954,-0.03750099986791611,-1.0160290389761095,2.828447572708515
upstream,56,2.8000000000000003,pi_4,16,15,9,8,8,0.11486257612705231,0.12451648712158203,1.3185230493545532,1.877301573753357,-0.4008880853652954,-0.1548985093832016,-1.0160290389761095,2.079224034646506
upstream,56,2.8000000000000003,pi_5,16,14,9,7,7,0.1202164962887764,0.12663714587688446,1.8129026889801025,1.8854310512542725,-0.4008880853652954,-0.03750099986791611,0.5773223468075521,2.828447572708515
upstream,56,2.8000000000000003,union,16,16,9,9,9,0.11486257612705231,0.12663714587688446,1.3185230493545532,1.8854310512542725,-0.4008880853652954,-0.03750099986791611,-1.0160290389761095,2.828447572708515
upstream,57,2.85,pi_0,30,29,22,21,23,0.11710008978843689,0.1302947998046875,0.3141302466392517,2.1251468658447266,-0.42536062002182007,0.9897779226303101,-0.6089198841873416,4.913378899256648
upstream,57,2.85,pi_1,30,28,22,20,22,0.11710008978843689,0.1302947998046875,0.3141302466392517,1.5691710710525513,-0.10353508591651917,0.9897779226303101,-0.5518394290732352,4.913378899256648
upstream,57,2.85,pi_2,30,30,22,22,24,0.11710008978843689,0.1302947998046875,0.3141302466392517,2.1251468658447266,-0.42536062002182007,0.9897779226303101,-0.6089198841873416,4.913378899256648
upstream,57,2.85,pi_3,30,20,22,17,19,0.11849502474069595,0.1302947998046875,0.3243214786052704,2.1251468658447266,-0.42536062002182007,0.9897779226303101,-0.6089198841873416,4.913378899256648
upstream,57,2.85,pi_4,30,30,22,22,24,0.11710008978843689,0.1302947998046875,0.3141302466392517,2.1251468658447266,-0.42536062002182007,0.9897779226303101,-0.6089198841873416,4.913378899256648
upstream,57,2.85,pi_5,30,29,22,21,23,0.11710008978843689,0.1302947998046875,0.3141302466392517,2.1251468658447266,-0.42536062002182007,0.9897779226303101,-0.6089198841873416,4.913378899256648
upstream,57,2.85,union,30,30,22,22,24,0.11710008978843689,0.1302947998046875,0.3141302466392517,2.1251468658447266,-0.42536062002182007,0.9897779226303101,-0.6089198841873416,4.913378899256648
upstream,58,2.9000000000000004,pi_0,30,29,30,29,29,0.11888973414897919,0.2894171178340912,1.1047724485397339,2.179208517074585,0.021250411868095398,3.090736150741577,0.1902317984731332,36.986016047933376
upstream,58,2.9000000000000004,pi_1,30,29,30,29,29,0.11888973414897919,0.2894171178340912,1.1047724485397339,2.179208517074585,0.021250411868095398,3.090736150741577,0.1902317984731332,36.986016047933376
upstream,58,2.9000000000000004,pi_2,30,30,30,30,30,0.11888973414897919,0.2894171178340912,1.1047724485397339,2.179208517074585,0.021250411868095398,3.090736150741577,0.1902317984731332,36.986016047933376
upstream,58,2.9000000000000004,pi_3,30,22,30,22,22,0.11888973414897919,0.2894171178340912,1.1047724485397339,2.179208517074585,0.021250411868095398,3.090736150741577,0.1902317984731332,36.986016047933376
upstream,58,2.9000000000000004,pi_4,30,30,30,30,30,0.11888973414897919,0.2894171178340912,1.1047724485397339,2.179208517074585,0.021250411868095398,3.090736150741577,0.1902317984731332,36.986016047933376
upstream,58,2.9000000000000004,pi_5,30,29,30,29,29,0.13081103563308716,0.2894171178340912,1.143247127532959,2.179208517074585,1.0696972608566284,3.090736150741577,4.314489768616733,36.986016047933376
upstream,58,2.9000000000000004,union,30,30,30,30,30,0.11888973414897919,0.2894171178340912,1.1047724485397339,2.179208517074585,0.021250411868095398,3.090736150741577,0.1902317984731332,36.986016047933376
upstream,59,2.95,pi_0,30,29,30,29,29,0.13488493859767914,0.36891618371009827,1.1746169328689575,2.48922061920166,1.456323266029358,3.6802353858947754,5.742410232565674,35.18383718269678
upstream,59,2.95,pi_1,30,27,30,27,27,0.13488493859767914,0.36891618371009827,1.1746169328689575,2.48922061920166,1.456323266029358,3.6802353858947754,5.742410232565674,35.18383718269678
upstream,59,2.95,pi_2,30,30,30,30,30,0.13488493859767914,0.36891618371009827,1.1746169328689575,2.48922061920166,1.456323266029358,3.6802353858947754,5.742410232565674,35.18383718269678
upstream,59,2.95,pi_3,30,20,30,20,20,0.13488493859767914,0.36891618371009827,1.1746169328689575,2.48922061920166,1.456323266029358,3.6802353858947754,5.742410232565674,35.18383718269678
upstream,59,2.95,pi_4,30,30,30,30,30,0.13488493859767914,0.36891618371009827,1.1746169328689575,2.48922061920166,1.456323266029358,3.6802353858947754,5.742410232565674,35.18383718269678
upstream,59,2.95,pi_5,30,29,30,29,29,0.13488493859767914,0.36891618371009827,1.1746169328689575,2.48922061920166,1.456323266029358,3.6802353858947754,5.742410232565674,35.18383718269678
upstream,59,2.95,union,30,30,30,30,30,0.13488493859767914,0.36891618371009827,1.1746169328689575,2.48922061920166,1.456323266029358,3.6802353858947754,5.742410232565674,35.18383718269678
upstream,60,3.0,pi_0,30,28,30,28,28,0.24740879237651825,0.4311838746070862,1.4031630754470825,2.3989174365997314,1.6319785118103027,3.565826177597046,20.813177352999723,28.67179614611956
upstream,60,3.0,pi_1,30,28,30,28,28,0.24740879237651825,0.4311838746070862,1.4031630754470825,2.3664915561676025,1.6319785118103027,3.3596858978271484,20.813177352999723,28.67179614611956
upstream,60,3.0,pi_2,30,29,30,29,29,0.24740879237651825,0.4311838746070862,1.4031630754470825,2.3989174365997314,1.6319785118103027,3.565826177597046,20.813177352999723,28.67179614611956
upstream,60,3.0,pi_3,30,24,30,24,24,0.24740879237651825,0.4311838746070862,1.4031630754470825,2.3989174365997314,1.6319785118103027,3.565826177597046,20.813177352999723,28.67179614611956
upstream,60,3.0,pi_4,30,30,30,30,30,0.24740879237651825,0.4311838746070862,1.4031630754470825,2.3989174365997314,1.6319785118103027,3.565826177597046,20.813177352999723,28.67179614611956
upstream,60,3.0,pi_5,30,29,30,29,29,0.24740879237651825,0.4311838746070862,1.4031630754470825,2.3989174365997314,1.6319785118103027,3.565826177597046,20.813177352999723,28.67179614611956
upstream,60,3.0,union,30,30,30,30,30,0.24740879237651825,0.4311838746070862,1.4031630754470825,2.3989174365997314,1.6319785118103027,3.565826177597046,20.813177352999723,28.67179614611956
upstream,61,3.0500000000000003,pi_0,30,28,30,28,28,0.3137916326522827,0.4761373698711395,0.9453709125518799,2.5167086124420166,0.30890026688575745,3.5492589473724365,16.400028116991113,31.297255275364204
upstream,61,3.0500000000000003,pi_1,30,29,30,29,29,0.3137916326522827,0.4761373698711395,0.9453709125518799,2.5167086124420166,0.30890026688575745,3.5492589473724365,16.400028116991113,31.297255275364204
upstream,61,3.0500000000000003,pi_2,30,30,30,30,30,0.3137916326522827,0.4761373698711395,0.9453709125518799,2.5167086124420166,0.30890026688575745,3.5492589473724365,16.400028116991113,31.297255275364204
upstream,61,3.0500000000000003,pi_3,30,20,30,20,20,0.3137916326522827,0.4761373698711395,1.0284490585327148,2.5167086124420166,0.48957493901252747,3.5492589473724365,16.400028116991113,29.791267226905855
upstream,61,3.0500000000000003,pi_4,30,29,30,29,29,0.3137916326522827,0.4761373698711395,0.9453709125518799,2.5167086124420166,0.30890026688575745,3.5492589473724365,16.400028116991113,31.297255275364204
upstream,61,3.0500000000000003,pi_5,30,30,30,30,30,0.3137916326522827,0.4761373698711395,0.9453709125518799,2.5167086124420166,0.30890026688575745,3.5492589473724365,16.400028116991113,31.297255275364204
upstream,61,3.0500000000000003,union,30,30,30,30,30,0.3137916326522827,0.4761373698711395,0.9453709125518799,2.5167086124420166,0.30890026688575745,3.5492589473724365,16.400028116991113,31.297255275364204
