anchor_x_m,candidate_count,environment_interactions,final_x_m,peak_root_z_m,peak_sampling,perturbation_started,physical_failure,proposer,stop_reason,strength,timeout,trajectory_id,truncated,valid_landing,action,sign
2.85,26,46,4.052795886993408,0.7527473568916321,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.85_family0/variant_0,False,True,steer,-1
2.85,2,10,2.805553913116455,0.15000000596046448,control_step_states_including_reset,True,False,pi_2,task_terminated_before_landing,0.1,False,dense_v1_train_x2.85_family0/variant_5,False,False,hip,1
2.85,29,50,4.141944408416748,0.758843183517456,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.85_family0/variant_10,False,True,rear_wheel_drive,-1
2.85,27,46,4.124661445617676,0.6068131327629089,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.85_family0/variant_15,False,True,knee,1
2.85,27,49,4.066034317016602,0.741418719291687,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.85_family1/variant_1,False,True,steer,1
2.85,29,48,4.17743444442749,0.7802466154098511,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.85_family1/variant_6,False,True,knee,-1
2.85,27,45,4.085622787475586,0.7384997606277466,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.85_family1/variant_11,False,True,rear_wheel_drive,1
2.85,29,48,4.192135810852051,0.7282781004905701,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.85_family2/variant_2,False,True,rear_wheel_drive,-1
2.85,3,10,2.8371825218200684,0.15000000596046448,control_step_states_including_reset,True,False,pi_2,task_terminated_before_landing,0.1,False,dense_v1_train_x2.85_family2/variant_7,False,False,knee,1
2.85,25,47,4.0044708251953125,0.7142016887664795,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.85_family2/variant_12,False,True,hip,-1
2.85,29,48,4.214001655578613,0.72626131772995,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.85_family3/variant_3,False,True,rear_wheel_drive,1
2.85,27,47,4.107631683349609,0.7327441573143005,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.85_family3/variant_8,False,True,steer,-1
2.85,2,9,2.7940995693206787,0.15000000596046448,control_step_states_including_reset,True,False,pi_2,task_terminated_before_landing,0.2,False,dense_v1_train_x2.85_family3/variant_13,False,False,hip,1
2.85,27,44,4.058755397796631,0.6534683108329773,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.85_family4/variant_4,False,True,hip,-1
2.85,27,45,4.0713372230529785,0.6179635524749756,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.85_family4/variant_9,False,True,steer,1
2.85,2,9,2.819044589996338,0.15000000596046448,control_step_states_including_reset,True,False,pi_2,task_terminated_before_landing,0.2,False,dense_v1_train_x2.85_family4/variant_14,False,False,knee,-1
2.95,28,49,4.218211650848389,0.7639191150665283,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.95_family0/variant_0,False,True,steer,-1
2.95,1,10,2.8484103679656982,0.15000000596046448,control_step_states_including_reset,True,False,pi_2,task_terminated_before_landing,0.1,False,dense_v1_train_x2.95_family0/variant_5,False,False,hip,1
2.95,24,46,4.049346446990967,0.7810584902763367,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.95_family0/variant_10,False,True,rear_wheel_drive,-1
2.95,22,43,3.9294676780700684,0.6351283192634583,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.95_family0/variant_15,False,True,knee,1
2.95,24,46,4.028395652770996,0.7607614994049072,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.95_family1/variant_1,False,True,steer,1
2.95,23,45,3.9702775478363037,0.7479719519615173,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.95_family1/variant_6,False,True,knee,-1
2.95,30,50,4.3605122566223145,0.7948215007781982,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.95_family1/variant_11,False,True,rear_wheel_drive,1
2.95,22,45,3.9377644062042236,0.7846376299858093,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.95_family2/variant_2,False,True,rear_wheel_drive,-1
2.95,21,42,3.8491804599761963,0.7014399766921997,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.95_family2/variant_7,False,True,knee,1
2.95,25,40,4.151648044586182,0.6810414791107178,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.95_family2/variant_12,False,True,hip,-1
2.95,24,45,4.057650566101074,0.7549260854721069,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.1,False,dense_v1_train_x2.95_family3/variant_3,False,True,rear_wheel_drive,1
2.95,24,45,3.9865217208862305,0.7513516545295715,control_step_states_including_reset,True,False,pi_2,first_valid_landing,0.2,False,dense_v1_train_x2.95_family3/variant_8,False,True,steer,-1
